"currency","model","confidence_level","dataset","species","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","ESSS",0.95,"dm_controls","DM",25.8835327093706,18.7253583168939,33.0417071018474,2415,"2415.01",,554,2022-04-28,4,2022,92,217,554,554,566,0,,
"abundance","ESSS",0.95,"dm_controls","DM",25.8835327093706,16.8586344649258,34.9084309538155,2415,"2415.01",,555,2022-04-28,4,2022,92,217,554,554,566,1,,
"abundance","ESSS",0.95,"dm_controls","DM",25.8835327093706,15.3166923106489,36.4503731080924,2415,"2415.01",,556,2022-04-28,5,2022,92,217,554,554,566,2,,
"abundance","ESSS",0.95,"dm_controls","DM",25.8835327093706,13.9727206589044,37.7943447598369,2415,"2415.01",,557,2022-04-28,6,2022,92,217,554,554,566,3,,
"abundance","ESSS",0.95,"dm_controls","DM",25.8835327093706,12.7657291054511,39.0013363132902,2415,"2415.01",,558,2022-04-28,7,2022,92,217,554,554,566,4,,
"abundance","ESSS",0.95,"dm_controls","DM",25.8835327093706,11.6608009365895,40.1062644821518,2415,"2415.01",,559,2022-04-28,8,2022,92,217,554,554,566,5,,
"abundance","ESSS",0.95,"dm_controls","DM",25.8835327093706,10.6357319902521,41.1313334284892,2415,"2415.01",,560,2022-04-28,9,2022,92,217,554,554,566,6,,
"abundance","ESSS",0.95,"dm_controls","DM",25.8835327093706,9.67536333527329,42.091702083468,2415,"2415.01",,561,2022-04-28,10,2022,92,217,554,554,566,7,,
"abundance","ESSS",0.95,"dm_controls","DM",25.8835327093706,8.76879981198363,42.9982656067576,2415,"2415.01",,562,2022-04-28,11,2022,92,217,554,554,566,8,,
"abundance","ESSS",0.95,"dm_controls","DM",25.8835327093706,7.90789892809953,43.8591664906417,2415,"2415.01",,563,2022-04-28,12,2022,92,217,554,554,566,9,,
"abundance","ESSS",0.95,"dm_controls","DM",25.8835327093706,7.08638565116394,44.6806797675773,2415,"2415.01",,564,2022-04-28,1,2023,92,217,554,554,566,10,,
"abundance","ESSS",0.95,"dm_controls","DM",25.8835327093706,6.29930269598174,45.4677627227595,2415,"2415.01",,565,2022-04-28,2,2023,92,217,554,554,566,11,,
"abundance","ESSS",0.95,"dm_controls","DM",25.8835327093706,5.54265286343486,46.2244125553064,2415,"2415.01",,566,2022-04-28,3,2023,92,217,554,554,566,12,,
