"currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","pevGARCH","controls","DM",19.6733096117293,12,29,0.95,1986,"1986.02",,551,2021-12-23,1,2022,76,217,550,551,562,1,,
"abundance","pevGARCH","controls","DM",19.9852890426019,10,32,0.95,1986,"1986.02",,552,2021-12-23,2,2022,76,217,550,551,562,2,,
"abundance","pevGARCH","controls","DM",19.9922857254162,9,34,0.95,1986,"1986.02",,553,2021-12-23,3,2022,76,217,550,551,562,3,,
"abundance","pevGARCH","controls","DM",19.8838827439104,8,35,0.95,1986,"1986.02",,554,2021-12-23,4,2022,76,217,550,551,562,4,,
"abundance","pevGARCH","controls","DM",19.1819531359607,7,34,0.95,1986,"1986.02",,555,2021-12-23,4,2022,76,217,550,551,562,5,,
"abundance","pevGARCH","controls","DM",18.1687924289097,6,33,0.95,1986,"1986.02",,556,2021-12-23,5,2022,76,217,550,551,562,6,,
"abundance","pevGARCH","controls","DM",16.9413167525867,5,31,0.95,1986,"1986.02",,557,2021-12-23,6,2022,76,217,550,551,562,7,,
"abundance","pevGARCH","controls","DM",15.9344635236221,5,28,0.95,1986,"1986.02",,558,2021-12-23,7,2022,76,217,550,551,562,8,,
"abundance","pevGARCH","controls","DM",15.4663197474049,4,28,0.95,1986,"1986.02",,559,2021-12-23,8,2022,76,217,550,551,562,9,,
"abundance","pevGARCH","controls","DM",15.2652923988206,4,28,0.95,1986,"1986.02",,560,2021-12-23,9,2022,76,217,550,551,562,10,,
"abundance","pevGARCH","controls","DM",15.4097333630295,4,27,0.95,1986,"1986.02",,561,2021-12-23,10,2022,76,217,550,551,562,11,,
"abundance","pevGARCH","controls","DM",15.875201684447,4,29,0.95,1986,"1986.02",,562,2021-12-23,11,2022,76,217,550,551,562,12,,
