"currency","model","dataset","species","confidence_level","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","pevGARCH","dm_controls","DM",0.95,20.010019717541,12,29,2735,"2735.01",,555,2022-07-28,4,2022,105,217,557,555,569,-2,,
"abundance","pevGARCH","dm_controls","DM",0.95,18.8283209272227,9,30,2735,"2735.01",,556,2022-07-28,5,2022,105,217,557,555,569,-1,,
"abundance","pevGARCH","dm_controls","DM",0.95,17.4317100937714,7,29,2735,"2735.01",,557,2022-07-28,6,2022,105,217,557,555,569,0,,
"abundance","pevGARCH","dm_controls","DM",0.95,16.1597215402099,5,30,2735,"2735.01",,558,2022-07-28,7,2022,105,217,557,555,569,1,,
"abundance","pevGARCH","dm_controls","DM",0.95,15.3276160429891,5,29,2735,"2735.01",,559,2022-07-28,8,2022,105,217,557,555,569,2,,
"abundance","pevGARCH","dm_controls","DM",0.95,15.1509616027236,5,27,2735,"2735.01",,560,2022-07-28,9,2022,105,217,557,555,569,3,,
"abundance","pevGARCH","dm_controls","DM",0.95,15.6451433648599,5,28,2735,"2735.01",,561,2022-07-28,10,2022,105,217,557,555,569,4,,
"abundance","pevGARCH","dm_controls","DM",0.95,16.3994136578674,5,29,2735,"2735.01",,562,2022-07-28,11,2022,105,217,557,555,569,5,,
"abundance","pevGARCH","dm_controls","DM",0.95,17.2619396471047,5,30,2735,"2735.01",,563,2022-07-28,12,2022,105,217,557,555,569,6,,
"abundance","pevGARCH","dm_controls","DM",0.95,17.8477853030355,5,31,2735,"2735.01",,564,2022-07-28,1,2023,105,217,557,555,569,7,,
"abundance","pevGARCH","dm_controls","DM",0.95,17.9565962510167,5,33,2735,"2735.01",,565,2022-07-28,2,2023,105,217,557,555,569,8,,
"abundance","pevGARCH","dm_controls","DM",0.95,17.6208706763578,5,33,2735,"2735.01",,566,2022-07-28,3,2023,105,217,557,555,569,9,,
"abundance","pevGARCH","dm_controls","DM",0.95,16.6140441837008,4,30,2735,"2735.01",,567,2022-07-28,4,2023,105,217,557,555,569,10,,
"abundance","pevGARCH","dm_controls","DM",0.95,15.5166487535565,4,28,2735,"2735.01",,568,2022-07-28,5,2023,105,217,557,555,569,11,,
"abundance","pevGARCH","dm_controls","DM",0.95,14.707267232332,4,26,2735,"2735.01",,569,2022-07-28,6,2023,105,217,557,555,569,12,,
