"currency","model","confidence_level","dataset","species","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","nbGARCH",0.95,"dm_controls","DM",24.7015367342142,15,34,2425,"2425.01",,554,2022-04-28,4,2022,92,217,554,554,566,0,,
"abundance","nbGARCH",0.95,"dm_controls","DM",22.9008838164421,12,36,2425,"2425.01",,555,2022-04-28,4,2022,92,217,554,554,566,1,,
"abundance","nbGARCH",0.95,"dm_controls","DM",21.472623253421,10,36,2425,"2425.01",,556,2022-04-28,5,2022,92,217,554,554,566,2,,
"abundance","nbGARCH",0.95,"dm_controls","DM",20.3261236613711,9,35,2425,"2425.01",,557,2022-04-28,6,2022,92,217,554,554,566,3,,
"abundance","nbGARCH",0.95,"dm_controls","DM",19.4361425881814,8,35,2425,"2425.01",,558,2022-04-28,7,2022,92,217,554,554,566,4,,
"abundance","nbGARCH",0.95,"dm_controls","DM",18.7251630162222,7,34,2425,"2425.01",,559,2022-04-28,8,2022,92,217,554,554,566,5,,
"abundance","nbGARCH",0.95,"dm_controls","DM",18.1543670575193,6,32,2425,"2425.01",,560,2022-04-28,9,2022,92,217,554,554,566,6,,
"abundance","nbGARCH",0.95,"dm_controls","DM",17.7101547185667,5,33,2425,"2425.01",,561,2022-04-28,10,2022,92,217,554,554,566,7,,
"abundance","nbGARCH",0.95,"dm_controls","DM",17.4293454052901,5,33,2425,"2425.01",,562,2022-04-28,11,2022,92,217,554,554,566,8,,
"abundance","nbGARCH",0.95,"dm_controls","DM",17.2242708509805,5,32,2425,"2425.01",,563,2022-04-28,12,2022,92,217,554,554,566,9,,
"abundance","nbGARCH",0.95,"dm_controls","DM",17.0636272271104,4,32,2425,"2425.01",,564,2022-04-28,1,2023,92,217,554,554,566,10,,
"abundance","nbGARCH",0.95,"dm_controls","DM",16.9512871259377,5,32,2425,"2425.01",,565,2022-04-28,2,2023,92,217,554,554,566,11,,
"abundance","nbGARCH",0.95,"dm_controls","DM",16.8811920655963,5,32,2425,"2425.01",,566,2022-04-28,3,2023,92,217,554,554,566,12,,
