"cast_date","cast_month","cast_year","currency","model","dataset","species","cast_group","confidence_level","estimate","lower_pi","upper_pi","cast_id","old_cast_id","origin","newmoonnumber","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"2022-07-28",4,2022,"abundance","pevGARCH","all","total",105,0.95,276.538666060783,242,306,"2732.21",2732,NA,555,217,557,555,569,-2,NA,NA
"2022-07-28",5,2022,"abundance","pevGARCH","all","total",105,0.95,268.510559299077,225,311,"2732.21",2732,NA,556,217,557,555,569,-1,NA,NA
"2022-07-28",6,2022,"abundance","pevGARCH","all","total",105,0.95,262.716085800999,214,315,"2732.21",2732,NA,557,217,557,555,569,0,NA,NA
"2022-07-28",7,2022,"abundance","pevGARCH","all","total",105,0.95,256.467598619323,205,310,"2732.21",2732,NA,558,217,557,555,569,1,NA,NA
"2022-07-28",8,2022,"abundance","pevGARCH","all","total",105,0.95,249.418126788211,196,307,"2732.21",2732,NA,559,217,557,555,569,2,NA,NA
"2022-07-28",9,2022,"abundance","pevGARCH","all","total",105,0.95,238.976956707717,184,296,"2732.21",2732,NA,560,217,557,555,569,3,NA,NA
"2022-07-28",10,2022,"abundance","pevGARCH","all","total",105,0.95,226.736468849164,172,283,"2732.21",2732,NA,561,217,557,555,569,4,NA,NA
"2022-07-28",11,2022,"abundance","pevGARCH","all","total",105,0.95,214.6044620393,162,268,"2732.21",2732,NA,562,217,557,555,569,5,NA,NA
"2022-07-28",12,2022,"abundance","pevGARCH","all","total",105,0.95,203.717736046544,154,259,"2732.21",2732,NA,563,217,557,555,569,6,NA,NA
"2022-07-28",1,2023,"abundance","pevGARCH","all","total",105,0.95,201.359644402559,150,259,"2732.21",2732,NA,564,217,557,555,569,7,NA,NA
"2022-07-28",2,2023,"abundance","pevGARCH","all","total",105,0.95,200.314559849622,146,257,"2732.21",2732,NA,565,217,557,555,569,8,NA,NA
"2022-07-28",3,2023,"abundance","pevGARCH","all","total",105,0.95,205.370311969506,149,263,"2732.21",2732,NA,566,217,557,555,569,9,NA,NA
"2022-07-28",4,2023,"abundance","pevGARCH","all","total",105,0.95,212.005673772194,151,275,"2732.21",2732,NA,567,217,557,555,569,10,NA,NA
"2022-07-28",5,2023,"abundance","pevGARCH","all","total",105,0.95,218.047292385099,159,283,"2732.21",2732,NA,568,217,557,555,569,11,NA,NA
"2022-07-28",6,2023,"abundance","pevGARCH","all","total",105,0.95,223.566538580671,165,291,"2732.21",2732,NA,569,217,557,555,569,12,NA,NA
