"cast_date","cast_month","cast_year","currency","model","cast_group","confidence_level","dataset","species","estimate","lower_pi","upper_pi","cast_id","old_cast_id","origin","newmoonnumber","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"2023-02-09",2,2023,"abundance","nbsGARCH",118,0.95,"all","OT",11.4908798119802,4,24,"3017.6",3017,NA,565,217,564,565,576,1,NA,NA
"2023-02-09",3,2023,"abundance","nbsGARCH",118,0.95,"all","OT",9.85671526593215,1,27,"3017.6",3017,NA,566,217,564,565,576,2,NA,NA
"2023-02-09",4,2023,"abundance","nbsGARCH",118,0.95,"all","OT",8.92445697731388,1,26,"3017.6",3017,NA,567,217,564,565,576,3,NA,NA
"2023-02-09",5,2023,"abundance","nbsGARCH",118,0.95,"all","OT",8.86120519386817,0,27,"3017.6",3017,NA,568,217,564,565,576,4,NA,NA
"2023-02-09",6,2023,"abundance","nbsGARCH",118,0.95,"all","OT",9.79773972248522,1,33,"3017.6",3017,NA,569,217,564,565,576,5,NA,NA
"2023-02-09",7,2023,"abundance","nbsGARCH",118,0.95,"all","OT",11.5804546524332,1,35,"3017.6",3017,NA,570,217,564,565,576,6,NA,NA
"2023-02-09",8,2023,"abundance","nbsGARCH",118,0.95,"all","OT",13.9469230317662,1,47,"3017.6",3017,NA,571,217,564,565,576,7,NA,NA
"2023-02-09",9,2023,"abundance","nbsGARCH",118,0.95,"all","OT",16.4386443383669,1,51,"3017.6",3017,NA,572,217,564,565,576,8,NA,NA
"2023-02-09",10,2023,"abundance","nbsGARCH",118,0.95,"all","OT",17.8587928363664,1,60,"3017.6",3017,NA,573,217,564,565,576,9,NA,NA
"2023-02-09",11,2023,"abundance","nbsGARCH",118,0.95,"all","OT",17.6178147204538,1,56,"3017.6",3017,NA,574,217,564,565,576,10,NA,NA
"2023-02-09",12,2023,"abundance","nbsGARCH",118,0.95,"all","OT",15.946106819356,1,53,"3017.6",3017,NA,575,217,564,565,576,11,NA,NA
"2023-02-09",1,2024,"abundance","nbsGARCH",118,0.95,"all","OT",13.5121260722182,1,43,"3017.6",3017,NA,576,217,564,565,576,12,NA,NA
