"currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","simplexEDM","controls","NA",0.0271493212669684,-0.341938539170388,0.396237181704325,0.95,437,"437.05",,527,2020-01-29,1,2020,19,217,527,527,539,0,,
"abundance","simplexEDM","controls","NA",0.0271493212669684,-0.341938539170389,0.396237181704325,0.95,437,"437.05",,528,2020-01-29,2,2020,19,217,527,527,539,1,,
"abundance","simplexEDM","controls","NA",0.0271493212669684,-0.341938539170389,0.396237181704325,0.95,437,"437.05",,529,2020-01-29,3,2020,19,217,527,527,539,2,,
"abundance","simplexEDM","controls","NA",0.0271493212669684,-0.341938539170389,0.396237181704325,0.95,437,"437.05",,530,2020-01-29,4,2020,19,217,527,527,539,3,,
"abundance","simplexEDM","controls","NA",0.0271493212669684,-0.341938539170389,0.396237181704325,0.95,437,"437.05",,531,2020-01-29,5,2020,19,217,527,527,539,4,,
"abundance","simplexEDM","controls","NA",0.0271493212669684,-0.341938539170389,0.396237181704325,0.95,437,"437.05",,532,2020-01-29,6,2020,19,217,527,527,539,5,,
"abundance","simplexEDM","controls","NA",0.0271493212669684,-0.341938539170389,0.396237181704325,0.95,437,"437.05",,533,2020-01-29,7,2020,19,217,527,527,539,6,,
"abundance","simplexEDM","controls","NA",0.0271493212669684,-0.341938539170389,0.396237181704325,0.95,437,"437.05",,534,2020-01-29,8,2020,19,217,527,527,539,7,,
"abundance","simplexEDM","controls","NA",0.0271493212669684,-0.341938539170389,0.396237181704325,0.95,437,"437.05",,535,2020-01-29,9,2020,19,217,527,527,539,8,,
"abundance","simplexEDM","controls","NA",0.0271493212669684,-0.341938539170389,0.396237181704325,0.95,437,"437.05",,536,2020-01-29,10,2020,19,217,527,527,539,9,,
"abundance","simplexEDM","controls","NA",0.0271493212669684,-0.341938539170389,0.396237181704325,0.95,437,"437.05",,537,2020-01-29,11,2020,19,217,527,527,539,10,,
"abundance","simplexEDM","controls","NA",0.0271493212669684,-0.341938539170389,0.396237181704325,0.95,437,"437.05",,538,2020-01-29,12,2020,19,217,527,527,539,11,,
"abundance","simplexEDM","controls","NA",0.0271493212669684,-0.341938539170389,0.396237181704325,0.95,437,"437.05",,539,2020-01-29,1,2021,19,217,527,527,539,12,,
