"currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","jags_RW","controls","PL",0.013,0,0.026,0.95,923,"923.12",,528,2020-06-18,2,2020,38,217,531,528,543,-3,,
"abundance","jags_RW","controls","PL",0.013,0,0.026,0.95,923,"923.12",,529,2020-06-18,3,2020,38,217,531,528,543,-2,,
"abundance","jags_RW","controls","PL",0.013,0,0.026,0.95,923,"923.12",,530,2020-06-18,4,2020,38,217,531,528,543,-1,,
"abundance","jags_RW","controls","PL",0.014,0,0.027,0.95,923,"923.12",,531,2020-06-18,5,2020,38,217,531,528,543,0,,
"abundance","jags_RW","controls","PL",0.014,0,0.027,0.95,923,"923.12",,532,2020-06-18,6,2020,38,217,531,528,543,1,,
"abundance","jags_RW","controls","PL",0.014,0,0.027,0.95,923,"923.12",,533,2020-06-18,7,2020,38,217,531,528,543,2,,
"abundance","jags_RW","controls","PL",0.014,0,0.027,0.95,923,"923.12",,534,2020-06-18,8,2020,38,217,531,528,543,3,,
"abundance","jags_RW","controls","PL",0.014,0,0.027,0.95,923,"923.12",,535,2020-06-18,9,2020,38,217,531,528,543,4,,
"abundance","jags_RW","controls","PL",0.014,0,0.027,0.95,923,"923.12",,536,2020-06-18,10,2020,38,217,531,528,543,5,,
"abundance","jags_RW","controls","PL",0.014,0,0.027,0.95,923,"923.12",,537,2020-06-18,11,2020,38,217,531,528,543,6,,
"abundance","jags_RW","controls","PL",0.014,0,0.027,0.95,923,"923.12",,538,2020-06-18,12,2020,38,217,531,528,543,7,,
"abundance","jags_RW","controls","PL",0.014,0,0.027,0.95,923,"923.12",,539,2020-06-18,1,2021,38,217,531,528,543,8,,
"abundance","jags_RW","controls","PL",0.014,0,0.028,0.95,923,"923.12",,540,2020-06-18,2,2021,38,217,531,528,543,9,,
"abundance","jags_RW","controls","PL",0.014,0,0.028,0.95,923,"923.12",,541,2020-06-18,3,2021,38,217,531,528,543,10,,
"abundance","jags_RW","controls","PL",0.014,0,0.028,0.95,923,"923.12",,542,2020-06-18,4,2021,38,217,531,528,543,11,,
"abundance","jags_RW","controls","PL",0.014,0,0.028,0.95,923,"923.12",,543,2020-06-18,5,2021,38,217,531,528,543,12,,
