"currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","simplexEDM","all","PP",52.9732769705232,7.92247774063072,98.0240762004158,0.95,109,"109.15",,524,2019-11-29,10,2019,5,217,525,524,537,-1,,
"abundance","simplexEDM","all","PP",38.3441609853308,8.25641251893461,68.431909451727,0.95,109,"109.15",,525,2019-11-29,11,2019,5,217,525,524,537,0,,
"abundance","simplexEDM","all","PP",26.7194424368765,-6.38169622473187,59.8205810984849,0.95,109,"109.15",,526,2019-11-29,12,2019,5,217,525,524,537,1,,
"abundance","simplexEDM","all","PP",13.8667594377337,-40.6506224752442,68.3841413507117,0.95,109,"109.15",,527,2019-11-29,1,2020,5,217,525,524,537,2,,
"abundance","simplexEDM","all","PP",3.5614968908727,-3.04340646758882,10.1664002493342,0.95,109,"109.15",,528,2019-11-29,2,2020,5,217,525,524,537,3,,
"abundance","simplexEDM","all","PP",6.16720053571134,-3.59368250916502,15.9280835805877,0.95,109,"109.15",,529,2019-11-29,3,2020,5,217,525,524,537,4,,
"abundance","simplexEDM","all","PP",11.7111576593802,-22.5167913495558,45.9391066683163,0.95,109,"109.15",,530,2019-11-29,4,2020,5,217,525,524,537,5,,
"abundance","simplexEDM","all","PP",40.6847972700624,-5.18930662134623,86.5589011614711,0.95,109,"109.15",,531,2019-11-29,5,2020,5,217,525,524,537,6,,
"abundance","simplexEDM","all","PP",61.5301857865883,38.7413158590391,84.3190557141374,0.95,109,"109.15",,532,2019-11-29,6,2020,5,217,525,524,537,7,,
"abundance","simplexEDM","all","PP",65.3813968007787,57.9180107459376,72.8447828556198,0.95,109,"109.15",,533,2019-11-29,7,2020,5,217,525,524,537,8,,
"abundance","simplexEDM","all","PP",77.3306456798256,19.5366412376652,135.124650121986,0.95,109,"109.15",,534,2019-11-29,8,2020,5,217,525,524,537,9,,
"abundance","simplexEDM","all","PP",50.887427171598,-6.57517388808414,108.35002823128,0.95,109,"109.15",,535,2019-11-29,9,2020,5,217,525,524,537,10,,
"abundance","simplexEDM","all","PP",23.9444783127661,-7.07772941173815,54.9666860372703,0.95,109,"109.15",,536,2019-11-29,10,2020,5,217,525,524,537,11,,
"abundance","simplexEDM","all","PP",7.05954541903239,-8.46338991736824,22.582480755433,0.95,109,"109.15",,537,2019-11-29,11,2020,5,217,525,524,537,12,,
