"currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","nbsGARCH","all","PB",7.60475899090123,1,16,0.95,769,"769.08",,528,2020-05-07,2,2020,32,217,530,528,542,-2,,
"abundance","nbsGARCH","all","PB",8.60533963933386,1,23,0.95,769,"769.08",,529,2020-05-07,3,2020,32,217,530,528,542,-1,,
"abundance","nbsGARCH","all","PB",10.1705828863592,1,31,0.95,769,"769.08",,530,2020-05-07,4,2020,32,217,530,528,542,0,,
"abundance","nbsGARCH","all","PB",12.0187009857516,1,36,0.95,769,"769.08",,531,2020-05-07,5,2020,32,217,530,528,542,1,,
"abundance","nbsGARCH","all","PB",14.1110989400108,1,45,0.95,769,"769.08",,532,2020-05-07,6,2020,32,217,530,528,542,2,,
"abundance","nbsGARCH","all","PB",15.538725713405,1,51,0.95,769,"769.08",,533,2020-05-07,7,2020,32,217,530,528,542,3,,
"abundance","nbsGARCH","all","PB",16.0654958868589,1,57,0.95,769,"769.08",,534,2020-05-07,8,2020,32,217,530,528,542,4,,
"abundance","nbsGARCH","all","PB",15.5500466942824,1,58,0.95,769,"769.08",,535,2020-05-07,9,2020,32,217,530,528,542,5,,
"abundance","nbsGARCH","all","PB",14.6395324953985,0,55,0.95,769,"769.08",,536,2020-05-07,10,2020,32,217,530,528,542,6,,
"abundance","nbsGARCH","all","PB",13.3719385605853,0,51,0.95,769,"769.08",,537,2020-05-07,11,2020,32,217,530,528,542,7,,
"abundance","nbsGARCH","all","PB",12.3238679609642,0,51,0.95,769,"769.08",,538,2020-05-07,12,2020,32,217,530,528,542,8,,
"abundance","nbsGARCH","all","PB",11.4401269682126,0,48,0.95,769,"769.08",,539,2020-05-07,1,2021,32,217,530,528,542,9,,
"abundance","nbsGARCH","all","PB",11.529217380636,0,46,0.95,769,"769.08",,540,2020-05-07,2,2021,32,217,530,528,542,10,,
"abundance","nbsGARCH","all","PB",12.3970049326087,0,45,0.95,769,"769.08",,541,2020-05-07,3,2021,32,217,530,528,542,11,,
"abundance","nbsGARCH","all","PB",14.0707970902875,0,56,0.95,769,"769.08",,542,2020-05-07,4,2021,32,217,530,528,542,12,,
