"currency","model","dataset","species","confidence_level","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","pevGARCH","dm_controls","DM",0.95,14.2915782337076,7,22,2757,"2757.01",,558,2022-08-04,7,2022,106,217,558,558,570,0,,
"abundance","pevGARCH","dm_controls","DM",0.95,13.8565417874554,6,24,2757,"2757.01",,559,2022-08-04,8,2022,106,217,558,558,570,1,,
"abundance","pevGARCH","dm_controls","DM",0.95,13.9334985253144,5,25,2757,"2757.01",,560,2022-08-04,9,2022,106,217,558,558,570,2,,
"abundance","pevGARCH","dm_controls","DM",0.95,14.5837203191831,4,27,2757,"2757.01",,561,2022-08-04,10,2022,106,217,558,558,570,3,,
"abundance","pevGARCH","dm_controls","DM",0.95,15.4954643735979,4,29,2757,"2757.01",,562,2022-08-04,11,2022,106,217,558,558,570,4,,
"abundance","pevGARCH","dm_controls","DM",0.95,16.5030743452085,5,31,2757,"2757.01",,563,2022-08-04,12,2022,106,217,558,558,570,5,,
"abundance","pevGARCH","dm_controls","DM",0.95,17.3966394571685,5,32,2757,"2757.01",,564,2022-08-04,1,2023,106,217,558,558,570,6,,
"abundance","pevGARCH","dm_controls","DM",0.95,17.9353951728604,5,34,2757,"2757.01",,565,2022-08-04,2,2023,106,217,558,558,570,7,,
"abundance","pevGARCH","dm_controls","DM",0.95,18.0570637719535,5,33,2757,"2757.01",,566,2022-08-04,3,2023,106,217,558,558,570,8,,
"abundance","pevGARCH","dm_controls","DM",0.95,17.8118446599324,5,32,2757,"2757.01",,567,2022-08-04,4,2023,106,217,558,558,570,9,,
"abundance","pevGARCH","dm_controls","DM",0.95,16.8336681889166,5,31,2757,"2757.01",,568,2022-08-04,5,2023,106,217,558,558,570,10,,
"abundance","pevGARCH","dm_controls","DM",0.95,15.7556223508954,4,28,2757,"2757.01",,569,2022-08-04,6,2023,106,217,558,558,570,11,,
"abundance","pevGARCH","dm_controls","DM",0.95,14.8439932192615,3,27,2757,"2757.01",,570,2022-08-04,7,2023,106,217,558,558,570,12,,
