"currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","nbGARCH","all","PF",0.676680742501054,0,3,0.95,766,"766.11",,528,2020-05-07,2,2020,32,217,530,528,542,-2,,
"abundance","nbGARCH","all","PF",1.12576203331417,0,4,0.95,766,"766.11",,529,2020-05-07,3,2020,32,217,530,528,542,-1,,
"abundance","nbGARCH","all","PF",1.42220771733661,0,5,0.95,766,"766.11",,530,2020-05-07,4,2020,32,217,530,528,542,0,,
"abundance","nbGARCH","all","PF",1.61736832928869,0,5,0.95,766,"766.11",,531,2020-05-07,5,2020,32,217,530,528,542,1,,
"abundance","nbGARCH","all","PF",1.74567062108828,0,6,0.95,766,"766.11",,532,2020-05-07,6,2020,32,217,530,528,542,2,,
"abundance","nbGARCH","all","PF",1.82992024808989,0,6,0.95,766,"766.11",,533,2020-05-07,7,2020,32,217,530,528,542,3,,
"abundance","nbGARCH","all","PF",1.88520809236104,0,6,0.95,766,"766.11",,534,2020-05-07,8,2020,32,217,530,528,542,4,,
"abundance","nbGARCH","all","PF",1.88267623885209,0,6,0.95,766,"766.11",,535,2020-05-07,9,2020,32,217,530,528,542,5,,
"abundance","nbGARCH","all","PF",1.91981911554973,0,6,0.95,766,"766.11",,536,2020-05-07,10,2020,32,217,530,528,542,6,,
"abundance","nbGARCH","all","PF",1.90487985449581,0,6,0.95,766,"766.11",,537,2020-05-07,11,2020,32,217,530,528,542,7,,
"abundance","nbGARCH","all","PF",1.93434517420875,0,6,0.95,766,"766.11",,538,2020-05-07,12,2020,32,217,530,528,542,8,,
"abundance","nbGARCH","all","PF",1.9536672752756,0,6,0.95,766,"766.11",,539,2020-05-07,1,2021,32,217,530,528,542,9,,
"abundance","nbGARCH","all","PF",1.9663756114384,0,6,0.95,766,"766.11",,540,2020-05-07,2,2021,32,217,530,528,542,10,,
"abundance","nbGARCH","all","PF",1.94489689635945,0,6,0.95,766,"766.11",,541,2020-05-07,3,2021,32,217,530,528,542,11,,
"abundance","nbGARCH","all","PF",1.91758408377137,0,6,0.95,766,"766.11",,542,2020-05-07,4,2021,32,217,530,528,542,12,,
