"cast_date","cast_month","cast_year","currency","model","dataset","species","estimate","lower_pi","upper_pi","cast_id","cast_group","confidence_level","old_cast_id","origin","newmoonnumber","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"2020-06-18",2,2020,"abundance","nbGARCH","exclosures","PL",0.031933043412919,0,0,"930.11",38,0.95,930,NA,528,217,531,528,543,-3,NA,NA
"2020-06-18",3,2020,"abundance","nbGARCH","exclosures","PL",0.0332904195444427,0,1,"930.11",38,0.95,930,NA,529,217,531,528,543,-2,NA,NA
"2020-06-18",4,2020,"abundance","nbGARCH","exclosures","PL",0.0367878130053389,0,1,"930.11",38,0.95,930,NA,530,217,531,528,543,-1,NA,NA
"2020-06-18",5,2020,"abundance","nbGARCH","exclosures","PL",0.0362469297489593,0,1,"930.11",38,0.95,930,NA,531,217,531,528,543,0,NA,NA
"2020-06-18",6,2020,"abundance","nbGARCH","exclosures","PL",0.0367916851968828,0,1,"930.11",38,0.95,930,NA,532,217,531,528,543,1,NA,NA
"2020-06-18",7,2020,"abundance","nbGARCH","exclosures","PL",0.0362469347278372,0,1,"930.11",38,0.95,930,NA,533,217,531,528,543,2,NA,NA
"2020-06-18",8,2020,"abundance","nbGARCH","exclosures","PL",0.0377432195656497,0,1,"930.11",38,0.95,930,NA,534,217,531,528,543,3,NA,NA
"2020-06-18",9,2020,"abundance","nbGARCH","exclosures","PL",0.0367936408563533,0,0,"930.11",38,0.95,930,NA,535,217,531,528,543,4,NA,NA
"2020-06-18",10,2020,"abundance","nbGARCH","exclosures","PL",0.0377439529172074,0,1,"930.11",38,0.95,930,NA,536,217,531,528,543,5,NA,NA
"2020-06-18",11,2020,"abundance","nbGARCH","exclosures","PL",0.0387214223542357,0,0,"930.11",38,0.95,930,NA,537,217,531,528,543,6,NA,NA
"2020-06-18",12,2020,"abundance","nbGARCH","exclosures","PL",0.0387227653055379,0,1,"930.11",38,0.95,930,NA,538,217,531,528,543,7,NA,NA
"2020-06-18",1,2021,"abundance","nbGARCH","exclosures","PL",0.0377465376720511,0,1,"930.11",38,0.95,930,NA,539,217,531,528,543,8,NA,NA
"2020-06-18",2,2021,"abundance","nbGARCH","exclosures","PL",0.0393041261317699,0,0,"930.11",38,0.95,930,NA,540,217,531,528,543,9,NA,NA
"2020-06-18",3,2021,"abundance","nbGARCH","exclosures","PL",0.0377036315223189,0,1,"930.11",38,0.95,930,NA,541,217,531,528,543,10,NA,NA
"2020-06-18",4,2021,"abundance","nbGARCH","exclosures","PL",0.0341172348119227,0,1,"930.11",38,0.95,930,NA,542,217,531,528,543,11,NA,NA
"2020-06-18",5,2021,"abundance","nbGARCH","exclosures","PL",0.0346219225848391,0,1,"930.11",38,0.95,930,NA,543,217,531,528,543,12,NA,NA
