"cast_date","cast_month","cast_year","currency","model","cast_group","confidence_level","dataset","species","estimate","lower_pi","upper_pi","cast_id","old_cast_id","origin","newmoonnumber","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"2022-09-29",8,2022,"abundance","nbsGARCH",114,0.95,"exclosures","NA",0.0675000007498135,0,1,"2928.4",2928,NA,559,217,560,559,572,-1,NA,NA
"2022-09-29",9,2022,"abundance","nbsGARCH",114,0.95,"exclosures","NA",0.0780092057600569,0,1,"2928.4",2928,NA,560,217,560,559,572,0,NA,NA
"2022-09-29",10,2022,"abundance","nbsGARCH",114,0.95,"exclosures","NA",0.0834985609523771,0,1,"2928.4",2928,NA,561,217,560,559,572,1,NA,NA
"2022-09-29",11,2022,"abundance","nbsGARCH",114,0.95,"exclosures","NA",0.0858923772855961,0,1,"2928.4",2928,NA,562,217,560,559,572,2,NA,NA
"2022-09-29",12,2022,"abundance","nbsGARCH",114,0.95,"exclosures","NA",0.0845247016604963,0,1,"2928.4",2928,NA,563,217,560,559,572,3,NA,NA
"2022-09-29",1,2023,"abundance","nbsGARCH",114,0.95,"exclosures","NA",0.0797324984024778,0,1,"2928.4",2928,NA,564,217,560,559,572,4,NA,NA
"2022-09-29",2,2023,"abundance","nbsGARCH",114,0.95,"exclosures","NA",0.0732769292406029,0,1,"2928.4",2928,NA,565,217,560,559,572,5,NA,NA
"2022-09-29",3,2023,"abundance","nbsGARCH",114,0.95,"exclosures","NA",0.0672510267185077,0,1,"2928.4",2928,NA,566,217,560,559,572,6,NA,NA
"2022-09-29",4,2023,"abundance","nbsGARCH",114,0.95,"exclosures","NA",0.0626847235170884,0,1,"2928.4",2928,NA,567,217,560,559,572,7,NA,NA
"2022-09-29",5,2023,"abundance","nbsGARCH",114,0.95,"exclosures","NA",0.0605994520497932,0,1,"2928.4",2928,NA,568,217,560,559,572,8,NA,NA
"2022-09-29",6,2023,"abundance","nbsGARCH",114,0.95,"exclosures","NA",0.0612016182440037,0,1,"2928.4",2928,NA,569,217,560,559,572,9,NA,NA
"2022-09-29",7,2023,"abundance","nbsGARCH",114,0.95,"exclosures","NA",0.0643151078715,0,1,"2928.4",2928,NA,570,217,560,559,572,10,NA,NA
"2022-09-29",8,2023,"abundance","nbsGARCH",114,0.95,"exclosures","NA",0.0697312725213045,0,1,"2928.4",2928,NA,571,217,560,559,572,11,NA,NA
"2022-09-29",9,2023,"abundance","nbsGARCH",114,0.95,"exclosures","NA",0.0761169675525927,0,1,"2928.4",2928,NA,572,217,560,559,572,12,NA,NA
