"currency","model","dataset","species","confidence_level","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","pevGARCH","controls","DM",0.95,20.2556232791809,12,29,2379,"2379.02",,552,2022-04-14,1,2022,90,217,554,552,566,-2,,
"abundance","pevGARCH","controls","DM",0.95,20.2109495036684,10,32,2379,"2379.02",,553,2022-04-14,3,2022,90,217,554,552,566,-1,,
"abundance","pevGARCH","controls","DM",0.95,20.0576482021364,9,35,2379,"2379.02",,554,2022-04-14,4,2022,90,217,554,552,566,0,,
"abundance","pevGARCH","controls","DM",0.95,19.3133687890618,7,35,2379,"2379.02",,555,2022-04-14,4,2022,90,217,554,552,566,1,,
"abundance","pevGARCH","controls","DM",0.95,18.3311043592361,7,32,2379,"2379.02",,556,2022-04-14,5,2022,90,217,554,552,566,2,,
"abundance","pevGARCH","controls","DM",0.95,17.0950506051158,6,31,2379,"2379.02",,557,2022-04-14,6,2022,90,217,554,552,566,3,,
"abundance","pevGARCH","controls","DM",0.95,15.9224118488083,5,29,2379,"2379.02",,558,2022-04-14,7,2022,90,217,554,552,566,4,,
"abundance","pevGARCH","controls","DM",0.95,15.1377274278007,5,28,2379,"2379.02",,559,2022-04-14,8,2022,90,217,554,552,566,5,,
"abundance","pevGARCH","controls","DM",0.95,15.4670378783916,4,29,2379,"2379.02",,560,2022-04-14,9,2022,90,217,554,552,566,6,,
"abundance","pevGARCH","controls","DM",0.95,16.0727644752525,4,31,2379,"2379.02",,561,2022-04-14,10,2022,90,217,554,552,566,7,,
"abundance","pevGARCH","controls","DM",0.95,16.938659300716,4,32,2379,"2379.02",,562,2022-04-14,11,2022,90,217,554,552,566,8,,
"abundance","pevGARCH","controls","DM",0.95,17.6535796874894,5,33,2379,"2379.02",,563,2022-04-14,12,2022,90,217,554,552,566,9,,
"abundance","pevGARCH","controls","DM",0.95,18.1153432782003,5,33,2379,"2379.02",,564,2022-04-14,1,2023,90,217,554,552,566,10,,
"abundance","pevGARCH","controls","DM",0.95,18.2757729131325,5,35,2379,"2379.02",,565,2022-04-14,2,2023,90,217,554,552,566,11,,
"abundance","pevGARCH","controls","DM",0.95,18.4101586889522,6,34,2379,"2379.02",,566,2022-04-14,3,2023,90,217,554,552,566,12,,
