"cast_date","cast_month","cast_year","currency","model","cast_group","confidence_level","dataset","species","estimate","lower_pi","upper_pi","cast_id","old_cast_id","origin","newmoonnumber","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"2022-10-06",8,2022,"abundance","ESSS",115,0.95,"exclosures","NA",8.91522273323782e-24,-0.507353613385034,0.507353613385034,"2940.4",2940,NA,559,217,560,559,572,-1,NA,NA
"2022-10-06",9,2022,"abundance","ESSS",115,0.95,"exclosures","NA",8.91522273323782e-24,-0.529804707370509,0.529804707370509,"2940.4",2940,NA,560,217,560,559,572,0,NA,NA
"2022-10-06",10,2022,"abundance","ESSS",115,0.95,"exclosures","NA",8.91522273323782e-24,-0.551342331849325,0.551342331849325,"2940.4",2940,NA,561,217,560,559,572,1,NA,NA
"2022-10-06",11,2022,"abundance","ESSS",115,0.95,"exclosures","NA",8.91522273323782e-24,-0.572069668682191,0.572069668682191,"2940.4",2940,NA,562,217,560,559,572,2,NA,NA
"2022-10-06",12,2022,"abundance","ESSS",115,0.95,"exclosures","NA",8.91522273323782e-24,-0.592071823990343,0.592071823990343,"2940.4",2940,NA,563,217,560,559,572,3,NA,NA
"2022-10-06",1,2023,"abundance","ESSS",115,0.95,"exclosures","NA",8.91522273323782e-24,-0.611419973259258,0.611419973259258,"2940.4",2940,NA,564,217,560,559,572,4,NA,NA
"2022-10-06",2,2023,"abundance","ESSS",115,0.95,"exclosures","NA",8.91522273323782e-24,-0.630174358917793,0.630174358917793,"2940.4",2940,NA,565,217,560,559,572,5,NA,NA
"2022-10-06",3,2023,"abundance","ESSS",115,0.95,"exclosures","NA",8.91522273323782e-24,-0.648386506317453,0.648386506317453,"2940.4",2940,NA,566,217,560,559,572,6,NA,NA
"2022-10-06",4,2023,"abundance","ESSS",115,0.95,"exclosures","NA",8.91522273323782e-24,-0.666100893642737,0.666100893642737,"2940.4",2940,NA,567,217,560,559,572,7,NA,NA
"2022-10-06",5,2023,"abundance","ESSS",115,0.95,"exclosures","NA",8.91522273323782e-24,-0.683356231733312,0.683356231733312,"2940.4",2940,NA,568,217,560,559,572,8,NA,NA
"2022-10-06",6,2023,"abundance","ESSS",115,0.95,"exclosures","NA",8.91522273323782e-24,-0.700186459727588,0.700186459727588,"2940.4",2940,NA,569,217,560,559,572,9,NA,NA
"2022-10-06",7,2023,"abundance","ESSS",115,0.95,"exclosures","NA",8.91522273323782e-24,-0.716621530044244,0.716621530044244,"2940.4",2940,NA,570,217,560,559,572,10,NA,NA
"2022-10-06",8,2023,"abundance","ESSS",115,0.95,"exclosures","NA",8.91522273323782e-24,-0.732688034746066,0.732688034746066,"2940.4",2940,NA,571,217,560,559,572,11,NA,NA
"2022-10-06",9,2023,"abundance","ESSS",115,0.95,"exclosures","NA",8.91522273323782e-24,-0.74840971078491,0.74840971078491,"2940.4",2940,NA,572,217,560,559,572,12,NA,NA
