"cast_date","cast_month","cast_year","currency","model","dataset","species","estimate","lower_pi","upper_pi","cast_id","cast_group","confidence_level","old_cast_id","origin","newmoonnumber","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"2020-10-15",2,2020,"abundance","jags_RW","controls","PB",0.288,0.221,0.368,"1301.8",52,0.95,1301,NA,528,217,535,528,547,-7,NA,NA
"2020-10-15",3,2020,"abundance","jags_RW","controls","PB",0.289,0.223,0.37,"1301.8",52,0.95,1301,NA,529,217,535,528,547,-6,NA,NA
"2020-10-15",4,2020,"abundance","jags_RW","controls","PB",0.289,0.223,0.372,"1301.8",52,0.95,1301,NA,530,217,535,528,547,-5,NA,NA
"2020-10-15",5,2020,"abundance","jags_RW","controls","PB",0.289,0.219,0.369,"1301.8",52,0.95,1301,NA,531,217,535,528,547,-4,NA,NA
"2020-10-15",6,2020,"abundance","jags_RW","controls","PB",0.289,0.217,0.368,"1301.8",52,0.95,1301,NA,532,217,535,528,547,-3,NA,NA
"2020-10-15",7,2020,"abundance","jags_RW","controls","PB",0.289,0.22,0.372,"1301.8",52,0.95,1301,NA,533,217,535,528,547,-2,NA,NA
"2020-10-15",8,2020,"abundance","jags_RW","controls","PB",0.289,0.217,0.37,"1301.8",52,0.95,1301,NA,534,217,535,528,547,-1,NA,NA
"2020-10-15",9,2020,"abundance","jags_RW","controls","PB",0.289,0.216,0.37,"1301.8",52,0.95,1301,NA,535,217,535,528,547,0,NA,NA
"2020-10-15",10,2020,"abundance","jags_RW","controls","PB",0.289,0.217,0.372,"1301.8",52,0.95,1301,NA,536,217,535,528,547,1,NA,NA
"2020-10-15",11,2020,"abundance","jags_RW","controls","PB",0.289,0.215,0.371,"1301.8",52,0.95,1301,NA,537,217,535,528,547,2,NA,NA
"2020-10-15",12,2020,"abundance","jags_RW","controls","PB",0.289,0.216,0.373,"1301.8",52,0.95,1301,NA,538,217,535,528,547,3,NA,NA
"2020-10-15",1,2021,"abundance","jags_RW","controls","PB",0.289,0.215,0.374,"1301.8",52,0.95,1301,NA,539,217,535,528,547,4,NA,NA
"2020-10-15",2,2021,"abundance","jags_RW","controls","PB",0.289,0.215,0.374,"1301.8",52,0.95,1301,NA,540,217,535,528,547,5,NA,NA
"2020-10-15",3,2021,"abundance","jags_RW","controls","PB",0.289,0.213,0.373,"1301.8",52,0.95,1301,NA,541,217,535,528,547,6,NA,NA
"2020-10-15",4,2021,"abundance","jags_RW","controls","PB",0.289,0.214,0.376,"1301.8",52,0.95,1301,NA,542,217,535,528,547,7,NA,NA
"2020-10-15",5,2021,"abundance","jags_RW","controls","PB",0.289,0.215,0.378,"1301.8",52,0.95,1301,NA,543,217,535,528,547,8,NA,NA
"2020-10-15",6,2021,"abundance","jags_RW","controls","PB",0.289,0.213,0.378,"1301.8",52,0.95,1301,NA,544,217,535,528,547,9,NA,NA
"2020-10-15",7,2021,"abundance","jags_RW","controls","PB",0.289,0.209,0.375,"1301.8",52,0.95,1301,NA,545,217,535,528,547,10,NA,NA
"2020-10-15",8,2021,"abundance","jags_RW","controls","PB",0.289,0.21,0.377,"1301.8",52,0.95,1301,NA,546,217,535,528,547,11,NA,NA
"2020-10-15",9,2021,"abundance","jags_RW","controls","PB",0.289,0.209,0.377,"1301.8",52,0.95,1301,NA,547,217,535,528,547,12,NA,NA
