"cast_date","cast_month","cast_year","currency","model","dataset","species","estimate","lower_pi","upper_pi","cast_id","cast_group","confidence_level","old_cast_id","origin","newmoonnumber","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"2020-04-09",2,2020,"abundance","pevGARCH","all","PL",0.420477447238173,0,2,"745.12",31,0.95,745,NA,528,217,529,528,541,-1,NA,NA
"2020-04-09",3,2020,"abundance","pevGARCH","all","PL",0.53335198207219,0,2,"745.12",31,0.95,745,NA,529,217,529,528,541,0,NA,NA
"2020-04-09",4,2020,"abundance","pevGARCH","all","PL",0.528331258318403,0,2,"745.12",31,0.95,745,NA,530,217,529,528,541,1,NA,NA
"2020-04-09",5,2020,"abundance","pevGARCH","all","PL",0.449449491623788,0,2,"745.12",31,0.95,745,NA,531,217,529,528,541,2,NA,NA
"2020-04-09",6,2020,"abundance","pevGARCH","all","PL",0.35434429656927,0,2,"745.12",31,0.95,745,NA,532,217,529,528,541,3,NA,NA
"2020-04-09",7,2020,"abundance","pevGARCH","all","PL",0.340008135275423,0,2,"745.12",31,0.95,745,NA,533,217,529,528,541,4,NA,NA
"2020-04-09",8,2020,"abundance","pevGARCH","all","PL",0.36651739916963,0,2,"745.12",31,0.95,745,NA,534,217,529,528,541,5,NA,NA
"2020-04-09",9,2020,"abundance","pevGARCH","all","PL",0.394450124949068,0,2,"745.12",31,0.95,745,NA,535,217,529,528,541,6,NA,NA
"2020-04-09",10,2020,"abundance","pevGARCH","all","PL",0.461035954490504,0,2,"745.12",31,0.95,745,NA,536,217,529,528,541,7,NA,NA
"2020-04-09",11,2020,"abundance","pevGARCH","all","PL",0.520036193152441,0,2,"745.12",31,0.95,745,NA,537,217,529,528,541,8,NA,NA
"2020-04-09",12,2020,"abundance","pevGARCH","all","PL",0.573995528227795,0,3,"745.12",31,0.95,745,NA,538,217,529,528,541,9,NA,NA
"2020-04-09",1,2021,"abundance","pevGARCH","all","PL",0.572580565082497,0,3,"745.12",31,0.95,745,NA,539,217,529,528,541,10,NA,NA
"2020-04-09",2,2021,"abundance","pevGARCH","all","PL",0.572059047527618,0,3,"745.12",31,0.95,745,NA,540,217,529,528,541,11,NA,NA
"2020-04-09",3,2021,"abundance","pevGARCH","all","PL",0.571998437362818,0,3,"745.12",31,0.95,745,NA,541,217,529,528,541,12,NA,NA
