"cast_date","cast_month","cast_year","currency","model","cast_group","confidence_level","dataset","species","estimate","lower_pi","upper_pi","cast_id","old_cast_id","origin","newmoonnumber","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"2022-05-05",4,2022,"abundance","nbGARCH",93,0.95,"controls","RM",0.258741247609677,0,2,"2449.14",2449,NA,554,217,555,554,567,-1,NA,NA
"2022-05-05",4,2022,"abundance","nbGARCH",93,0.95,"controls","RM",0.325555319330951,0,2,"2449.14",2449,NA,555,217,555,554,567,0,NA,NA
"2022-05-05",5,2022,"abundance","nbGARCH",93,0.95,"controls","RM",0.342804355634228,0,2,"2449.14",2449,NA,556,217,555,554,567,1,NA,NA
"2022-05-05",6,2022,"abundance","nbGARCH",93,0.95,"controls","RM",0.347257194543764,0,2,"2449.14",2449,NA,557,217,555,554,567,2,NA,NA
"2022-05-05",7,2022,"abundance","nbGARCH",93,0.95,"controls","RM",0.348406678421115,0,3,"2449.14",2449,NA,558,217,555,554,567,3,NA,NA
"2022-05-05",8,2022,"abundance","nbGARCH",93,0.95,"controls","RM",0.348703412332277,0,2,"2449.14",2449,NA,559,217,555,554,567,4,NA,NA
"2022-05-05",9,2022,"abundance","nbGARCH",93,0.95,"controls","RM",0.348780012736998,0,2,"2449.14",2449,NA,560,217,555,554,567,5,NA,NA
"2022-05-05",10,2022,"abundance","nbGARCH",93,0.95,"controls","RM",0.348799786751163,0,2,"2449.14",2449,NA,561,217,555,554,567,6,NA,NA
"2022-05-05",11,2022,"abundance","nbGARCH",93,0.95,"controls","RM",0.34880489131442,0,2,"2449.14",2449,NA,562,217,555,554,567,7,NA,NA
"2022-05-05",12,2022,"abundance","nbGARCH",93,0.95,"controls","RM",0.348806209031975,0,2,"2449.14",2449,NA,563,217,555,554,567,8,NA,NA
"2022-05-05",1,2023,"abundance","nbGARCH",93,0.95,"controls","RM",0.348806549194192,0,2,"2449.14",2449,NA,564,217,555,554,567,9,NA,NA
"2022-05-05",2,2023,"abundance","nbGARCH",93,0.95,"controls","RM",0.348806637005371,0,3,"2449.14",2449,NA,565,217,555,554,567,10,NA,NA
"2022-05-05",3,2023,"abundance","nbGARCH",93,0.95,"controls","RM",0.348806659673389,0,2,"2449.14",2449,NA,566,217,555,554,567,11,NA,NA
"2022-05-05",4,2023,"abundance","nbGARCH",93,0.95,"controls","RM",0.348803466409863,0,2,"2449.14",2449,NA,567,217,555,554,567,12,NA,NA
