"currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","pevGARCH","controls","SH",0.0731081606465226,0,1,0.95,1097,"1097.18",,528,2020-08-06,2,2020,44,217,533,528,545,-5,,
"abundance","pevGARCH","controls","SH",0.151046487909992,0,1,0.95,1097,"1097.18",,529,2020-08-06,3,2020,44,217,533,528,545,-4,,
"abundance","pevGARCH","controls","SH",0.0271198540568525,0,0,0.95,1097,"1097.18",,530,2020-08-06,4,2020,44,217,533,528,545,-3,,
"abundance","pevGARCH","controls","SH",0.0529245334859434,0,1,0.95,1097,"1097.18",,531,2020-08-06,5,2020,44,217,533,528,545,-2,,
"abundance","pevGARCH","controls","SH",0.230045882530458,0,2,0.95,1097,"1097.18",,532,2020-08-06,6,2020,44,217,533,528,545,-1,,
"abundance","pevGARCH","controls","SH",0.124886664872275,0,1,0.95,1097,"1097.18",,533,2020-08-06,7,2020,44,217,533,528,545,0,,
"abundance","pevGARCH","controls","SH",0.14241605298751,0,1,0.95,1097,"1097.18",,534,2020-08-06,8,2020,44,217,533,528,545,1,,
"abundance","pevGARCH","controls","SH",0.164939981303411,0,1,0.95,1097,"1097.18",,535,2020-08-06,9,2020,44,217,533,528,545,2,,
"abundance","pevGARCH","controls","SH",0.0732250459454774,0,1,0.95,1097,"1097.18",,536,2020-08-06,10,2020,44,217,533,528,545,3,,
"abundance","pevGARCH","controls","SH",0.0467647471636423,0,1,0.95,1097,"1097.18",,537,2020-08-06,11,2020,44,217,533,528,545,4,,
"abundance","pevGARCH","controls","SH",0.0349448930480552,0,1,0.95,1097,"1097.18",,538,2020-08-06,12,2020,44,217,533,528,545,5,,
"abundance","pevGARCH","controls","SH",0.03535828834863,0,1,0.95,1097,"1097.18",,539,2020-08-06,1,2021,44,217,533,528,545,6,,
"abundance","pevGARCH","controls","SH",0.123757021574096,0,1,0.95,1097,"1097.18",,540,2020-08-06,2,2021,44,217,533,528,545,7,,
"abundance","pevGARCH","controls","SH",0.0902033107120297,0,1,0.95,1097,"1097.18",,541,2020-08-06,3,2021,44,217,533,528,545,8,,
"abundance","pevGARCH","controls","SH",0.0590802452265375,0,1,0.95,1097,"1097.18",,542,2020-08-06,4,2021,44,217,533,528,545,9,,
"abundance","pevGARCH","controls","SH",0.0662419933425262,0,1,0.95,1097,"1097.18",,543,2020-08-06,5,2021,44,217,533,528,545,10,,
"abundance","pevGARCH","controls","SH",0.0336598101479886,0,1,0.95,1097,"1097.18",,544,2020-08-06,6,2021,44,217,533,528,545,11,,
"abundance","pevGARCH","controls","SH",0.0433593409375501,0,1,0.95,1097,"1097.18",,545,2020-08-06,7,2021,44,217,533,528,545,12,,
