"cast_date","cast_month","cast_year","currency","model","cast_group","confidence_level","dataset","species","estimate","lower_pi","upper_pi","cast_id","old_cast_id","origin","newmoonnumber","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"2023-02-16",2,2023,"abundance","nbsGARCH",119,0.95,"exclosures","BA",0.216082947137641,0,2,"3042.1",3042,NA,565,217,564,565,576,1,NA,NA
"2023-02-16",3,2023,"abundance","nbsGARCH",119,0.95,"exclosures","BA",0.267052366673895,0,2,"3042.1",3042,NA,566,217,564,565,576,2,NA,NA
"2023-02-16",4,2023,"abundance","nbsGARCH",119,0.95,"exclosures","BA",0.274786716024588,0,2,"3042.1",3042,NA,567,217,564,565,576,3,NA,NA
"2023-02-16",5,2023,"abundance","nbsGARCH",119,0.95,"exclosures","BA",0.265794536453266,0,2,"3042.1",3042,NA,568,217,564,565,576,4,NA,NA
"2023-02-16",6,2023,"abundance","nbsGARCH",119,0.95,"exclosures","BA",0.24900293729332,0,2,"3042.1",3042,NA,569,217,564,565,576,5,NA,NA
"2023-02-16",7,2023,"abundance","nbsGARCH",119,0.95,"exclosures","BA",0.231577203824139,0,2,"3042.1",3042,NA,570,217,564,565,576,6,NA,NA
"2023-02-16",8,2023,"abundance","nbsGARCH",119,0.95,"exclosures","BA",0.217280463551758,0,2,"3042.1",3042,NA,571,217,564,565,576,7,NA,NA
"2023-02-16",9,2023,"abundance","nbsGARCH",119,0.95,"exclosures","BA",0.209767886357922,0,2,"3042.1",3042,NA,572,217,564,565,576,8,NA,NA
"2023-02-16",10,2023,"abundance","nbsGARCH",119,0.95,"exclosures","BA",0.209795064201135,0,2,"3042.1",3042,NA,573,217,564,565,576,9,NA,NA
"2023-02-16",11,2023,"abundance","nbsGARCH",119,0.95,"exclosures","BA",0.217224162264645,0,2,"3042.1",3042,NA,574,217,564,565,576,10,NA,NA
"2023-02-16",12,2023,"abundance","nbsGARCH",119,0.95,"exclosures","BA",0.231114800756748,0,2,"3042.1",3042,NA,575,217,564,565,576,11,NA,NA
"2023-02-16",1,2024,"abundance","nbsGARCH",119,0.95,"exclosures","BA",0.248154097175454,0,2,"3042.1",3042,NA,576,217,564,565,576,12,NA,NA
