"currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","nbsGARCH","dm_controls","DM",19.8726010057644,12,29,0.95,1984,"1984.01",,551,2021-12-23,1,2022,76,217,550,551,562,1,,
"abundance","nbsGARCH","dm_controls","DM",20.5073060026585,10,33,0.95,1984,"1984.01",,552,2021-12-23,2,2022,76,217,550,551,562,2,,
"abundance","nbsGARCH","dm_controls","DM",20.5619802469876,9,35,0.95,1984,"1984.01",,553,2021-12-23,3,2022,76,217,550,551,562,3,,
"abundance","nbsGARCH","dm_controls","DM",19.8652761327519,8,35,0.95,1984,"1984.01",,554,2021-12-23,4,2022,76,217,550,551,562,4,,
"abundance","nbsGARCH","dm_controls","DM",18.5681521356113,7,33,0.95,1984,"1984.01",,555,2021-12-23,4,2022,76,217,550,551,562,5,,
"abundance","nbsGARCH","dm_controls","DM",16.9894304714639,6,31,0.95,1984,"1984.01",,556,2021-12-23,5,2022,76,217,550,551,562,6,,
"abundance","nbsGARCH","dm_controls","DM",15.5205244604223,5,30,0.95,1984,"1984.01",,557,2021-12-23,6,2022,76,217,550,551,562,7,,
"abundance","nbsGARCH","dm_controls","DM",14.4407224522144,4,28,0.95,1984,"1984.01",,558,2021-12-23,7,2022,76,217,550,551,562,8,,
"abundance","nbsGARCH","dm_controls","DM",13.8966600927605,4,27,0.95,1984,"1984.01",,559,2021-12-23,8,2022,76,217,550,551,562,9,,
"abundance","nbsGARCH","dm_controls","DM",13.9492947707321,4,28,0.95,1984,"1984.01",,560,2021-12-23,9,2022,76,217,550,551,562,10,,
"abundance","nbsGARCH","dm_controls","DM",14.5509960286487,4,29,0.95,1984,"1984.01",,561,2021-12-23,10,2022,76,217,550,551,562,11,,
"abundance","nbsGARCH","dm_controls","DM",15.599935776003,4,31,0.95,1984,"1984.01",,562,2021-12-23,11,2022,76,217,550,551,562,12,,
