"currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","nbsGARCH","all","PE",2.97902921606839,0,9,0.95,454,"454.09",,527,2020-01-31,1,2020,20,217,527,527,539,0,,
"abundance","nbsGARCH","all","PE",3.83494571774703,0,15,0.95,454,"454.09",,528,2020-01-31,2,2020,20,217,527,527,539,1,,
"abundance","nbsGARCH","all","PE",3.96064526524087,0,15,0.95,454,"454.09",,529,2020-01-31,3,2020,20,217,527,527,539,2,,
"abundance","nbsGARCH","all","PE",4.15051542633833,0,16,0.95,454,"454.09",,530,2020-01-31,4,2020,20,217,527,527,539,3,,
"abundance","nbsGARCH","all","PE",3.94431334255942,0,17,0.95,454,"454.09",,531,2020-01-31,5,2020,20,217,527,527,539,4,,
"abundance","nbsGARCH","all","PE",3.55471067808674,0,18,0.95,454,"454.09",,532,2020-01-31,6,2020,20,217,527,527,539,5,,
"abundance","nbsGARCH","all","PE",3.37928379504402,0,14,0.95,454,"454.09",,533,2020-01-31,7,2020,20,217,527,527,539,6,,
"abundance","nbsGARCH","all","PE",3.47986320634094,0,14,0.95,454,"454.09",,534,2020-01-31,8,2020,20,217,527,527,539,7,,
"abundance","nbsGARCH","all","PE",3.65391315543777,0,16,0.95,454,"454.09",,535,2020-01-31,9,2020,20,217,527,527,539,8,,
"abundance","nbsGARCH","all","PE",4.42168354602204,0,18,0.95,454,"454.09",,536,2020-01-31,10,2020,20,217,527,527,539,9,,
"abundance","nbsGARCH","all","PE",5.66513195802372,0,19,0.95,454,"454.09",,537,2020-01-31,11,2020,20,217,527,527,539,10,,
"abundance","nbsGARCH","all","PE",6.91770980770291,0,27,0.95,454,"454.09",,538,2020-01-31,12,2020,20,217,527,527,539,11,,
"abundance","nbsGARCH","all","PE",7.51078165203482,0,30,0.95,454,"454.09",,539,2020-01-31,1,2021,20,217,527,527,539,12,,
