"currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","simplexEDM","exclosures","RF",0.00649350649350648,-0.150931270077891,0.163918283064904,0.95,777,"777.16",,528,2020-05-07,2,2020,32,217,530,528,542,-2,,
"abundance","simplexEDM","exclosures","RF",0.00649350649350649,-0.150931270077892,0.163918283064905,0.95,777,"777.16",,529,2020-05-07,3,2020,32,217,530,528,542,-1,,
"abundance","simplexEDM","exclosures","RF",0.00649350649350649,-0.150931270077892,0.163918283064905,0.95,777,"777.16",,530,2020-05-07,4,2020,32,217,530,528,542,0,,
"abundance","simplexEDM","exclosures","RF",0.00649350649350649,-0.150931270077892,0.163918283064905,0.95,777,"777.16",,531,2020-05-07,5,2020,32,217,530,528,542,1,,
"abundance","simplexEDM","exclosures","RF",0.00649350649350649,-0.150931270077892,0.163918283064905,0.95,777,"777.16",,532,2020-05-07,6,2020,32,217,530,528,542,2,,
"abundance","simplexEDM","exclosures","RF",0.00649350649350649,-0.150931270077892,0.163918283064905,0.95,777,"777.16",,533,2020-05-07,7,2020,32,217,530,528,542,3,,
"abundance","simplexEDM","exclosures","RF",0.00649350649350649,-0.150931270077892,0.163918283064905,0.95,777,"777.16",,534,2020-05-07,8,2020,32,217,530,528,542,4,,
"abundance","simplexEDM","exclosures","RF",0.00649350649350649,-0.150931270077892,0.163918283064905,0.95,777,"777.16",,535,2020-05-07,9,2020,32,217,530,528,542,5,,
"abundance","simplexEDM","exclosures","RF",0.00649350649350649,-0.150931270077892,0.163918283064905,0.95,777,"777.16",,536,2020-05-07,10,2020,32,217,530,528,542,6,,
"abundance","simplexEDM","exclosures","RF",0.00649350649350649,-0.150931270077892,0.163918283064905,0.95,777,"777.16",,537,2020-05-07,11,2020,32,217,530,528,542,7,,
"abundance","simplexEDM","exclosures","RF",0.00649350649350649,-0.150931270077892,0.163918283064905,0.95,777,"777.16",,538,2020-05-07,12,2020,32,217,530,528,542,8,,
"abundance","simplexEDM","exclosures","RF",0.00649350649350649,-0.150931270077892,0.163918283064905,0.95,777,"777.16",,539,2020-05-07,1,2021,32,217,530,528,542,9,,
"abundance","simplexEDM","exclosures","RF",0.00649350649350649,-0.150931270077892,0.163918283064905,0.95,777,"777.16",,540,2020-05-07,2,2021,32,217,530,528,542,10,,
"abundance","simplexEDM","exclosures","RF",0.00649350649350649,-0.150931270077892,0.163918283064905,0.95,777,"777.16",,541,2020-05-07,3,2021,32,217,530,528,542,11,,
"abundance","simplexEDM","exclosures","RF",0.00649350649350649,-0.150931270077892,0.163918283064905,0.95,777,"777.16",,542,2020-05-07,4,2021,32,217,530,528,542,12,,
