"currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","simplexEDM","controls","PH",0,0,0,0.95,1154,"1154.12",,528,2020-08-20,2,2020,46,217,534,528,546,-6,,
"abundance","simplexEDM","controls","PH",0,0,0,0.95,1154,"1154.12",,529,2020-08-20,3,2020,46,217,534,528,546,-5,,
"abundance","simplexEDM","controls","PH",0,0,0,0.95,1154,"1154.12",,530,2020-08-20,4,2020,46,217,534,528,546,-4,,
"abundance","simplexEDM","controls","PH",0,0,0,0.95,1154,"1154.12",,531,2020-08-20,5,2020,46,217,534,528,546,-3,,
"abundance","simplexEDM","controls","PH",0,0,0,0.95,1154,"1154.12",,532,2020-08-20,6,2020,46,217,534,528,546,-2,,
"abundance","simplexEDM","controls","PH",0,0,0,0.95,1154,"1154.12",,533,2020-08-20,7,2020,46,217,534,528,546,-1,,
"abundance","simplexEDM","controls","PH",0,0,0,0.95,1154,"1154.12",,534,2020-08-20,8,2020,46,217,534,528,546,0,,
"abundance","simplexEDM","controls","PH",0,0,0,0.95,1154,"1154.12",,535,2020-08-20,9,2020,46,217,534,528,546,1,,
"abundance","simplexEDM","controls","PH",0,0,0,0.95,1154,"1154.12",,536,2020-08-20,10,2020,46,217,534,528,546,2,,
"abundance","simplexEDM","controls","PH",0,0,0,0.95,1154,"1154.12",,537,2020-08-20,11,2020,46,217,534,528,546,3,,
"abundance","simplexEDM","controls","PH",0,0,0,0.95,1154,"1154.12",,538,2020-08-20,12,2020,46,217,534,528,546,4,,
"abundance","simplexEDM","controls","PH",0,0,0,0.95,1154,"1154.12",,539,2020-08-20,1,2021,46,217,534,528,546,5,,
"abundance","simplexEDM","controls","PH",0,0,0,0.95,1154,"1154.12",,540,2020-08-20,2,2021,46,217,534,528,546,6,,
"abundance","simplexEDM","controls","PH",0,0,0,0.95,1154,"1154.12",,541,2020-08-20,3,2021,46,217,534,528,546,7,,
"abundance","simplexEDM","controls","PH",0,0,0,0.95,1154,"1154.12",,542,2020-08-20,4,2021,46,217,534,528,546,8,,
"abundance","simplexEDM","controls","PH",0,0,0,0.95,1154,"1154.12",,543,2020-08-20,5,2021,46,217,534,528,546,9,,
"abundance","simplexEDM","controls","PH",0,0,0,0.95,1154,"1154.12",,544,2020-08-20,6,2021,46,217,534,528,546,10,,
"abundance","simplexEDM","controls","PH",0,0,0,0.95,1154,"1154.12",,545,2020-08-20,7,2021,46,217,534,528,546,11,,
"abundance","simplexEDM","controls","PH",0,0,0,0.95,1154,"1154.12",,546,2020-08-20,8,2021,46,217,534,528,546,12,,
