"currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","pevGARCH","exclosures","PE",0.717383767690025,0,3,0.95,1987,"1987.08",,551,2021-12-23,1,2022,76,217,550,551,562,1,,
"abundance","pevGARCH","exclosures","PE",0.615557028858022,0,3,0.95,1987,"1987.08",,552,2021-12-23,2,2022,76,217,550,551,562,2,,
"abundance","pevGARCH","exclosures","PE",0.575661943492385,0,2,0.95,1987,"1987.08",,553,2021-12-23,3,2022,76,217,550,551,562,3,,
"abundance","pevGARCH","exclosures","PE",0.53758412136046,0,2,0.95,1987,"1987.08",,554,2021-12-23,4,2022,76,217,550,551,562,4,,
"abundance","pevGARCH","exclosures","PE",0.486960997749378,0,2,0.95,1987,"1987.08",,555,2021-12-23,4,2022,76,217,550,551,562,5,,
"abundance","pevGARCH","exclosures","PE",0.467873329491634,0,2,0.95,1987,"1987.08",,556,2021-12-23,5,2022,76,217,550,551,562,6,,
"abundance","pevGARCH","exclosures","PE",0.439313671502726,0,2,0.95,1987,"1987.08",,557,2021-12-23,6,2022,76,217,550,551,562,7,,
"abundance","pevGARCH","exclosures","PE",1824.26820207515,1208,3834,0.95,1987,"1987.08",,558,2021-12-23,7,2022,76,217,550,551,562,8,,
"abundance","pevGARCH","exclosures","PE",1663935.85108277,1106084,3469734,0.95,1987,"1987.08",,559,2021-12-23,8,2022,76,217,550,551,562,9,,
"abundance","pevGARCH","exclosures","PE",1894473781.97596,1264341502,3922214461,0.95,1987,"1987.08",,560,2021-12-23,9,2022,76,217,550,551,562,10,,
"abundance","pevGARCH","exclosures","PE",1.56556644842031e+12,1.048962818747e+12,3.218333728564e+12,0.95,1987,"1987.08",,561,2021-12-23,10,2022,76,217,550,551,562,11,,
"abundance","pevGARCH","exclosures","PE",1.689515811678093e+15,1.136442157771086e+15,3.448807359790541e+15,0.95,1987,"1987.08",,562,2021-12-23,11,2022,76,217,550,551,562,12,,
