"currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","simplexEDM","all","BA",0.0382513661202185,-0.554400415721995,0.630903147962432,0.95,1234,"1234.01",,528,2020-09-10,2,2020,49,217,534,528,546,-6,,
"abundance","simplexEDM","all","BA",0.0382513661202187,-0.554400415721993,0.630903147962431,0.95,1234,"1234.01",,529,2020-09-10,3,2020,49,217,534,528,546,-5,,
"abundance","simplexEDM","all","BA",0.0382513661202187,-0.554400415721993,0.630903147962431,0.95,1234,"1234.01",,530,2020-09-10,4,2020,49,217,534,528,546,-4,,
"abundance","simplexEDM","all","BA",0.0382513661202187,-0.554400415721993,0.630903147962431,0.95,1234,"1234.01",,531,2020-09-10,5,2020,49,217,534,528,546,-3,,
"abundance","simplexEDM","all","BA",0.0382513661202187,-0.554400415721993,0.630903147962431,0.95,1234,"1234.01",,532,2020-09-10,6,2020,49,217,534,528,546,-2,,
"abundance","simplexEDM","all","BA",0.0382513661202187,-0.554400415721993,0.630903147962431,0.95,1234,"1234.01",,533,2020-09-10,7,2020,49,217,534,528,546,-1,,
"abundance","simplexEDM","all","BA",0.0382513661202187,-0.554400415721993,0.630903147962431,0.95,1234,"1234.01",,534,2020-09-10,8,2020,49,217,534,528,546,0,,
"abundance","simplexEDM","all","BA",0.0382513661202187,-0.554400415721993,0.630903147962431,0.95,1234,"1234.01",,535,2020-09-10,9,2020,49,217,534,528,546,1,,
"abundance","simplexEDM","all","BA",0.0382513661202187,-0.554400415721993,0.630903147962431,0.95,1234,"1234.01",,536,2020-09-10,10,2020,49,217,534,528,546,2,,
"abundance","simplexEDM","all","BA",0.0382513661202187,-0.554400415721993,0.630903147962431,0.95,1234,"1234.01",,537,2020-09-10,11,2020,49,217,534,528,546,3,,
"abundance","simplexEDM","all","BA",0.0382513661202187,-0.554400415721993,0.630903147962431,0.95,1234,"1234.01",,538,2020-09-10,12,2020,49,217,534,528,546,4,,
"abundance","simplexEDM","all","BA",0.0382513661202187,-0.554400415721993,0.630903147962431,0.95,1234,"1234.01",,539,2020-09-10,1,2021,49,217,534,528,546,5,,
"abundance","simplexEDM","all","BA",0.0382513661202187,-0.554400415721993,0.630903147962431,0.95,1234,"1234.01",,540,2020-09-10,2,2021,49,217,534,528,546,6,,
"abundance","simplexEDM","all","BA",0.0382513661202187,-0.554400415721993,0.630903147962431,0.95,1234,"1234.01",,541,2020-09-10,3,2021,49,217,534,528,546,7,,
"abundance","simplexEDM","all","BA",0.0382513661202187,-0.554400415721993,0.630903147962431,0.95,1234,"1234.01",,542,2020-09-10,4,2021,49,217,534,528,546,8,,
"abundance","simplexEDM","all","BA",0.0382513661202187,-0.554400415721993,0.630903147962431,0.95,1234,"1234.01",,543,2020-09-10,5,2021,49,217,534,528,546,9,,
"abundance","simplexEDM","all","BA",0.0382513661202187,-0.554400415721993,0.630903147962431,0.95,1234,"1234.01",,544,2020-09-10,6,2021,49,217,534,528,546,10,,
"abundance","simplexEDM","all","BA",0.0382513661202187,-0.554400415721993,0.630903147962431,0.95,1234,"1234.01",,545,2020-09-10,7,2021,49,217,534,528,546,11,,
"abundance","simplexEDM","all","BA",0.0382513661202187,-0.554400415721993,0.630903147962431,0.95,1234,"1234.01",,546,2020-09-10,8,2021,49,217,534,528,546,12,,
