"currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","nbsGARCH","exclosures","RF",0.00329989677225066,0,0,0.95,771,"771.15",,528,2020-05-07,2,2020,32,217,530,528,542,-2,,
"abundance","nbsGARCH","exclosures","RF",0.00510213239160645,0,0,0.95,771,"771.15",,529,2020-05-07,3,2020,32,217,530,528,542,-1,,
"abundance","nbsGARCH","exclosures","RF",0.00805082188081411,0,0,0.95,771,"771.15",,530,2020-05-07,4,2020,32,217,530,528,542,0,,
"abundance","nbsGARCH","exclosures","RF",0.00954424439037397,0,0,0.95,771,"771.15",,531,2020-05-07,5,2020,32,217,530,528,542,1,,
"abundance","nbsGARCH","exclosures","RF",0.00933494657598335,0,0,0.95,771,"771.15",,532,2020-05-07,6,2020,32,217,530,528,542,2,,
"abundance","nbsGARCH","exclosures","RF",0.00675180893695422,0,0,0.95,771,"771.15",,533,2020-05-07,7,2020,32,217,530,528,542,3,,
"abundance","nbsGARCH","exclosures","RF",0.00384664915211276,0,0,0.95,771,"771.15",,534,2020-05-07,8,2020,32,217,530,528,542,4,,
"abundance","nbsGARCH","exclosures","RF",0.00273417799910466,0,0,0.95,771,"771.15",,535,2020-05-07,9,2020,32,217,530,528,542,5,,
"abundance","nbsGARCH","exclosures","RF",0.00184914322596283,0,0,0.95,771,"771.15",,536,2020-05-07,10,2020,32,217,530,528,542,6,,
"abundance","nbsGARCH","exclosures","RF",0.00147505274004871,0,0,0.95,771,"771.15",,537,2020-05-07,11,2020,32,217,530,528,542,7,,
"abundance","nbsGARCH","exclosures","RF",0.00141035379582042,0,0,0.95,771,"771.15",,538,2020-05-07,12,2020,32,217,530,528,542,8,,
"abundance","nbsGARCH","exclosures","RF",0.0018915404391423,0,0,0.95,771,"771.15",,539,2020-05-07,1,2021,32,217,530,528,542,9,,
"abundance","nbsGARCH","exclosures","RF",0.00279064186802695,0,0,0.95,771,"771.15",,540,2020-05-07,2,2021,32,217,530,528,542,10,,
"abundance","nbsGARCH","exclosures","RF",0.00469166760414743,0,0,0.95,771,"771.15",,541,2020-05-07,3,2021,32,217,530,528,542,11,,
"abundance","nbsGARCH","exclosures","RF",0.00662697847542248,0,0,0.95,771,"771.15",,542,2020-05-07,4,2021,32,217,530,528,542,12,,
