"currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","pevGARCH","controls","OL",0.356848469148475,0,2,0.95,1178,"1178.06",,528,2020-08-27,2,2020,47,217,534,528,546,-6,,
"abundance","pevGARCH","controls","OL",0.445425033381231,0,2,0.95,1178,"1178.06",,529,2020-08-27,3,2020,47,217,534,528,546,-5,,
"abundance","pevGARCH","controls","OL",0.403564442796013,0,2,0.95,1178,"1178.06",,530,2020-08-27,4,2020,47,217,534,528,546,-4,,
"abundance","pevGARCH","controls","OL",0.332567800825249,0,2,0.95,1178,"1178.06",,531,2020-08-27,5,2020,47,217,534,528,546,-3,,
"abundance","pevGARCH","controls","OL",0.275434882635718,0,2,0.95,1178,"1178.06",,532,2020-08-27,6,2020,47,217,534,528,546,-2,,
"abundance","pevGARCH","controls","OL",0.250537521728415,0,2,0.95,1178,"1178.06",,533,2020-08-27,7,2020,47,217,534,528,546,-1,,
"abundance","pevGARCH","controls","OL",0.255765234374816,0,2,0.95,1178,"1178.06",,534,2020-08-27,8,2020,47,217,534,528,546,0,,
"abundance","pevGARCH","controls","OL",0.268578628340084,0,2,0.95,1178,"1178.06",,535,2020-08-27,9,2020,47,217,534,528,546,1,,
"abundance","pevGARCH","controls","OL",0.317187646644846,0,2,0.95,1178,"1178.06",,536,2020-08-27,10,2020,47,217,534,528,546,2,,
"abundance","pevGARCH","controls","OL",0.431745981542055,0,2,0.95,1178,"1178.06",,537,2020-08-27,11,2020,47,217,534,528,546,3,,
"abundance","pevGARCH","controls","OL",0.525015799652855,0,2,0.95,1178,"1178.06",,538,2020-08-27,12,2020,47,217,534,528,546,4,,
"abundance","pevGARCH","controls","OL",0.585049246840348,0,3,0.95,1178,"1178.06",,539,2020-08-27,1,2021,47,217,534,528,546,5,,
"abundance","pevGARCH","controls","OL",0.59531585732092,0,3,0.95,1178,"1178.06",,540,2020-08-27,2,2021,47,217,534,528,546,6,,
"abundance","pevGARCH","controls","OL",0.568260061104704,0,3,0.95,1178,"1178.06",,541,2020-08-27,3,2021,47,217,534,528,546,7,,
"abundance","pevGARCH","controls","OL",0.498864028153532,0,2,0.95,1178,"1178.06",,542,2020-08-27,4,2021,47,217,534,528,546,8,,
"abundance","pevGARCH","controls","OL",0.372390437590809,0,2,0.95,1178,"1178.06",,543,2020-08-27,5,2021,47,217,534,528,546,9,,
"abundance","pevGARCH","controls","OL",0.341049258385916,0,2,0.95,1178,"1178.06",,544,2020-08-27,6,2021,47,217,534,528,546,10,,
"abundance","pevGARCH","controls","OL",0.333276415953914,0,2,0.95,1178,"1178.06",,545,2020-08-27,7,2021,47,217,534,528,546,11,,
"abundance","pevGARCH","controls","OL",0.331353580738701,0,2,0.95,1178,"1178.06",,546,2020-08-27,8,2021,47,217,534,528,546,12,,
