"cast_date","cast_month","cast_year","currency","model","dataset","species","cast_group","confidence_level","estimate","lower_pi","upper_pi","cast_id","old_cast_id","origin","newmoonnumber","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"2022-05-19",4,2022,"abundance","NaiveArima","controls","SF",95,0.95,0,-1.09247876292209,1.09247876292209,"2497.16",2497,NA,555,217,555,555,567,0,NA,NA
"2022-05-19",5,2022,"abundance","NaiveArima","controls","SF",95,0.95,0,-1.544998283129,1.544998283129,"2497.16",2497,NA,556,217,555,555,567,1,NA,NA
"2022-05-19",6,2022,"abundance","NaiveArima","controls","SF",95,0.95,0,-1.89222872357106,1.89222872357106,"2497.16",2497,NA,557,217,555,555,567,2,NA,NA
"2022-05-19",7,2022,"abundance","NaiveArima","controls","SF",95,0.95,0,-2.18495752584418,2.18495752584418,"2497.16",2497,NA,558,217,555,555,567,3,NA,NA
"2022-05-19",8,2022,"abundance","NaiveArima","controls","SF",95,0.95,0,-2.44285677786867,2.44285677786867,"2497.16",2497,NA,559,217,555,555,567,4,NA,NA
"2022-05-19",9,2022,"abundance","NaiveArima","controls","SF",95,0.95,0,-2.67601552398612,2.67601552398612,"2497.16",2497,NA,560,217,555,555,567,5,NA,NA
"2022-05-19",10,2022,"abundance","NaiveArima","controls","SF",95,0.95,0,-2.89042711931135,2.89042711931135,"2497.16",2497,NA,561,217,555,555,567,6,NA,NA
"2022-05-19",11,2022,"abundance","NaiveArima","controls","SF",95,0.95,0,-3.08999656625801,3.08999656625801,"2497.16",2497,NA,562,217,555,555,567,7,NA,NA
"2022-05-19",12,2022,"abundance","NaiveArima","controls","SF",95,0.95,0,-3.27743628876628,3.27743628876628,"2497.16",2497,NA,563,217,555,555,567,8,NA,NA
"2022-05-19",1,2023,"abundance","NaiveArima","controls","SF",95,0.95,0,-3.45472118619692,3.45472118619692,"2497.16",2497,NA,564,217,555,555,567,9,NA,NA
"2022-05-19",2,2023,"abundance","NaiveArima","controls","SF",95,0.95,0,-3.62334214804421,3.62334214804421,"2497.16",2497,NA,565,217,555,555,567,10,NA,NA
"2022-05-19",3,2023,"abundance","NaiveArima","controls","SF",95,0.95,0,-3.78445744714211,3.78445744714211,"2497.16",2497,NA,566,217,555,555,567,11,NA,NA
"2022-05-19",4,2023,"abundance","NaiveArima","controls","SF",95,0.95,0,-3.93898819707107,3.93898819707107,"2497.16",2497,NA,567,217,555,555,567,12,NA,NA
