"currency","model","dataset","species","confidence_level","estimate","lower_pi","upper_pi","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","pevGARCH","dm_controls","DM",0.95,25.488625662837,16,35,2459,"2459.01",,554,2022-05-05,4,2022,93,217,555,554,567,-1,,
"abundance","pevGARCH","dm_controls","DM",0.95,23.5366844237804,13,36,2459,"2459.01",,555,2022-05-05,4,2022,93,217,555,554,567,0,,
"abundance","pevGARCH","dm_controls","DM",0.95,21.5792402515089,10,37,2459,"2459.01",,556,2022-05-05,5,2022,93,217,555,554,567,1,,
"abundance","pevGARCH","dm_controls","DM",0.95,19.5533550913731,8,33,2459,"2459.01",,557,2022-05-05,6,2022,93,217,555,554,567,2,,
"abundance","pevGARCH","dm_controls","DM",0.95,17.7914766151602,7,30,2459,"2459.01",,558,2022-05-05,7,2022,93,217,555,554,567,3,,
"abundance","pevGARCH","dm_controls","DM",0.95,16.6102737442528,6,29,2459,"2459.01",,559,2022-05-05,8,2022,93,217,555,554,567,4,,
"abundance","pevGARCH","dm_controls","DM",0.95,16.2018147679919,5,29,2459,"2459.01",,560,2022-05-05,9,2022,93,217,555,554,567,5,,
"abundance","pevGARCH","dm_controls","DM",0.95,16.508356154389,4,29,2459,"2459.01",,561,2022-05-05,10,2022,93,217,555,554,567,6,,
"abundance","pevGARCH","dm_controls","DM",0.95,16.8739476717476,4,30,2459,"2459.01",,562,2022-05-05,11,2022,93,217,555,554,567,7,,
"abundance","pevGARCH","dm_controls","DM",0.95,17.6081938570508,5,32,2459,"2459.01",,563,2022-05-05,12,2022,93,217,555,554,567,8,,
"abundance","pevGARCH","dm_controls","DM",0.95,18.2280257961971,4,34,2459,"2459.01",,564,2022-05-05,1,2023,93,217,555,554,567,9,,
"abundance","pevGARCH","dm_controls","DM",0.95,18.563175020452,5,33,2459,"2459.01",,565,2022-05-05,2,2023,93,217,555,554,567,10,,
"abundance","pevGARCH","dm_controls","DM",0.95,18.5544493413413,5,33,2459,"2459.01",,566,2022-05-05,3,2023,93,217,555,554,567,11,,
"abundance","pevGARCH","dm_controls","DM",0.95,18.1446850130397,4,32,2459,"2459.01",,567,2022-05-05,4,2023,93,217,555,554,567,12,,
