"cast_date","cast_month","cast_year","currency","model","dataset","species","estimate","lower_pi","upper_pi","cast_id","cast_group","confidence_level","old_cast_id","origin","newmoonnumber","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"2020-04-09",2,2020,"abundance","NaiveArima","controls","PL",0,-0.334820592851886,0.334820592851886,"737.11",31,0.95,737,NA,528,217,529,528,541,-1,NA,NA
"2020-04-09",3,2020,"abundance","NaiveArima","controls","PL",0,-0.473507823372937,0.473507823372937,"737.11",31,0.95,737,NA,529,217,529,528,541,0,NA,NA
"2020-04-09",4,2020,"abundance","NaiveArima","controls","PL",0,-0.579926278239799,0.579926278239799,"737.11",31,0.95,737,NA,530,217,529,528,541,1,NA,NA
"2020-04-09",5,2020,"abundance","NaiveArima","controls","PL",0,-0.669641185703772,0.669641185703772,"737.11",31,0.95,737,NA,531,217,529,528,541,2,NA,NA
"2020-04-09",6,2020,"abundance","NaiveArima","controls","PL",0,-0.748681605883597,0.748681605883597,"737.11",31,0.95,737,NA,532,217,529,528,541,3,NA,NA
"2020-04-09",7,2020,"abundance","NaiveArima","controls","PL",0,-0.820139607863277,0.820139607863277,"737.11",31,0.95,737,NA,533,217,529,528,541,4,NA,NA
"2020-04-09",8,2020,"abundance","NaiveArima","controls","PL",0,-0.885852022509301,0.885852022509301,"737.11",31,0.95,737,NA,534,217,529,528,541,5,NA,NA
"2020-04-09",9,2020,"abundance","NaiveArima","controls","PL",0,-0.947015646745875,0.947015646745875,"737.11",31,0.95,737,NA,535,217,529,528,541,6,NA,NA
"2020-04-09",10,2020,"abundance","NaiveArima","controls","PL",0,-1.00446177855566,1.00446177855566,"737.11",31,0.95,737,NA,536,217,529,528,541,7,NA,NA
"2020-04-09",11,2020,"abundance","NaiveArima","controls","PL",0,-1.05879568093985,1.05879568093985,"737.11",31,0.95,737,NA,537,217,529,528,541,8,NA,NA
"2020-04-09",12,2020,"abundance","NaiveArima","controls","PL",0,-1.11047427857406,1.11047427857406,"737.11",31,0.95,737,NA,538,217,529,528,541,9,NA,NA
"2020-04-09",1,2021,"abundance","NaiveArima","controls","PL",0,-1.1598525564796,1.1598525564796,"737.11",31,0.95,737,NA,539,217,529,528,541,10,NA,NA
"2020-04-09",2,2021,"abundance","NaiveArima","controls","PL",0,-1.20721281560873,1.20721281560873,"737.11",31,0.95,737,NA,540,217,529,528,541,11,NA,NA
"2020-04-09",3,2021,"abundance","NaiveArima","controls","PL",0,-1.25278394448829,1.25278394448829,"737.11",31,0.95,737,NA,541,217,529,528,541,12,NA,NA
