"cast_date","cast_month","cast_year","currency","model","cast_group","confidence_level","dataset","species","estimate","lower_pi","upper_pi","cast_id","old_cast_id","origin","newmoonnumber","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"2022-08-04",7,2022,"abundance","ESSS",106,0.95,"exclosures","DO",0.381559363385462,-0.823713880255357,1.58683260702628,"2742.3",2742,NA,558,217,558,558,570,0,NA,NA
"2022-08-04",8,2022,"abundance","ESSS",106,0.95,"exclosures","DO",0.381559363385462,-1.05424105305077,1.8173597798217,"2742.3",2742,NA,559,217,558,558,570,1,NA,NA
"2022-08-04",9,2022,"abundance","ESSS",106,0.95,"exclosures","DO",0.381559363385462,-1.25256489132728,2.0156836180982,"2742.3",2742,NA,560,217,558,558,570,2,NA,NA
"2022-08-04",10,2022,"abundance","ESSS",106,0.95,"exclosures","DO",0.381559363385462,-1.42929715325038,2.1924158800213,"2742.3",2742,NA,561,217,558,558,570,3,NA,NA
"2022-08-04",11,2022,"abundance","ESSS",106,0.95,"exclosures","DO",0.381559363385462,-1.59025213060794,2.35337085737886,"2742.3",2742,NA,562,217,558,558,570,4,NA,NA
"2022-08-04",12,2022,"abundance","ESSS",106,0.95,"exclosures","DO",0.381559363385462,-1.73902541724617,2.50214414401709,"2742.3",2742,NA,563,217,558,558,570,5,NA,NA
"2022-08-04",1,2023,"abundance","ESSS",106,0.95,"exclosures","DO",0.381559363385462,-1.87802446020872,2.64114318697964,"2742.3",2742,NA,564,217,558,558,570,6,NA,NA
"2022-08-04",2,2023,"abundance","ESSS",106,0.95,"exclosures","DO",0.381559363385462,-2.00895486996487,2.77207359673579,"2742.3",2742,NA,565,217,558,558,570,7,NA,NA
"2022-08-04",3,2023,"abundance","ESSS",106,0.95,"exclosures","DO",0.381559363385462,-2.13307729900784,2.89619602577876,"2742.3",2742,NA,566,217,558,558,570,8,NA,NA
"2022-08-04",4,2023,"abundance","ESSS",106,0.95,"exclosures","DO",0.381559363385462,-2.25135476127841,3.01447348804933,"2742.3",2742,NA,567,217,558,558,570,9,NA,NA
"2022-08-04",5,2023,"abundance","ESSS",106,0.95,"exclosures","DO",0.381559363385462,-2.3645426070185,3.12766133378943,"2742.3",2742,NA,568,217,558,558,570,10,NA,NA
"2022-08-04",6,2023,"abundance","ESSS",106,0.95,"exclosures","DO",0.381559363385462,-2.47324628251384,3.23636500928477,"2742.3",2742,NA,569,217,558,558,570,11,NA,NA
"2022-08-04",7,2023,"abundance","ESSS",106,0.95,"exclosures","DO",0.381559363385462,-2.57795994215396,3.34107866892488,"2742.3",2742,NA,570,217,558,558,570,12,NA,NA
