"currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","simplexEDM","all","BA",0.0382513661202185,-0.554400415721995,0.630903147962432,0.95,775,"775.01",,528,2020-05-07,2,2020,32,217,530,528,542,-2,,
"abundance","simplexEDM","all","BA",0.0382513661202187,-0.554400415721993,0.630903147962431,0.95,775,"775.01",,529,2020-05-07,3,2020,32,217,530,528,542,-1,,
"abundance","simplexEDM","all","BA",0.0382513661202187,-0.554400415721993,0.630903147962431,0.95,775,"775.01",,530,2020-05-07,4,2020,32,217,530,528,542,0,,
"abundance","simplexEDM","all","BA",0.0382513661202187,-0.554400415721993,0.630903147962431,0.95,775,"775.01",,531,2020-05-07,5,2020,32,217,530,528,542,1,,
"abundance","simplexEDM","all","BA",0.0382513661202187,-0.554400415721993,0.630903147962431,0.95,775,"775.01",,532,2020-05-07,6,2020,32,217,530,528,542,2,,
"abundance","simplexEDM","all","BA",0.0382513661202187,-0.554400415721993,0.630903147962431,0.95,775,"775.01",,533,2020-05-07,7,2020,32,217,530,528,542,3,,
"abundance","simplexEDM","all","BA",0.0382513661202187,-0.554400415721993,0.630903147962431,0.95,775,"775.01",,534,2020-05-07,8,2020,32,217,530,528,542,4,,
"abundance","simplexEDM","all","BA",0.0382513661202187,-0.554400415721993,0.630903147962431,0.95,775,"775.01",,535,2020-05-07,9,2020,32,217,530,528,542,5,,
"abundance","simplexEDM","all","BA",0.0382513661202187,-0.554400415721993,0.630903147962431,0.95,775,"775.01",,536,2020-05-07,10,2020,32,217,530,528,542,6,,
"abundance","simplexEDM","all","BA",0.0382513661202187,-0.554400415721993,0.630903147962431,0.95,775,"775.01",,537,2020-05-07,11,2020,32,217,530,528,542,7,,
"abundance","simplexEDM","all","BA",0.0382513661202187,-0.554400415721993,0.630903147962431,0.95,775,"775.01",,538,2020-05-07,12,2020,32,217,530,528,542,8,,
"abundance","simplexEDM","all","BA",0.0382513661202187,-0.554400415721993,0.630903147962431,0.95,775,"775.01",,539,2020-05-07,1,2021,32,217,530,528,542,9,,
"abundance","simplexEDM","all","BA",0.0382513661202187,-0.554400415721993,0.630903147962431,0.95,775,"775.01",,540,2020-05-07,2,2021,32,217,530,528,542,10,,
"abundance","simplexEDM","all","BA",0.0382513661202187,-0.554400415721993,0.630903147962431,0.95,775,"775.01",,541,2020-05-07,3,2021,32,217,530,528,542,11,,
"abundance","simplexEDM","all","BA",0.0382513661202187,-0.554400415721993,0.630903147962431,0.95,775,"775.01",,542,2020-05-07,4,2021,32,217,530,528,542,12,,
