"cast_date","cast_month","cast_year","currency","model","cast_group","confidence_level","dataset","species","estimate","lower_pi","upper_pi","cast_id","old_cast_id","origin","newmoonnumber","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"2022-08-11",7,2022,"abundance","nbsGARCH",107,0.95,"exclosures","BA",0.0896212406040234,0,1,"2774.1",2774,NA,558,217,558,558,570,0,NA,NA
"2022-08-11",8,2022,"abundance","nbsGARCH",107,0.95,"exclosures","BA",0.0828072345878097,0,1,"2774.1",2774,NA,559,217,558,558,570,1,NA,NA
"2022-08-11",9,2022,"abundance","nbsGARCH",107,0.95,"exclosures","BA",0.0786541024218188,0,1,"2774.1",2774,NA,560,217,558,558,570,2,NA,NA
"2022-08-11",10,2022,"abundance","nbsGARCH",107,0.95,"exclosures","BA",0.0856447118075155,0,1,"2774.1",2774,NA,561,217,558,558,570,3,NA,NA
"2022-08-11",11,2022,"abundance","nbsGARCH",107,0.95,"exclosures","BA",0.105724626200212,0,1,"2774.1",2774,NA,562,217,558,558,570,4,NA,NA
"2022-08-11",12,2022,"abundance","nbsGARCH",107,0.95,"exclosures","BA",0.139055524078847,0,1,"2774.1",2774,NA,563,217,558,558,570,5,NA,NA
"2022-08-11",1,2023,"abundance","nbsGARCH",107,0.95,"exclosures","BA",0.186249539064788,0,2,"2774.1",2774,NA,564,217,558,558,570,6,NA,NA
"2022-08-11",2,2023,"abundance","nbsGARCH",107,0.95,"exclosures","BA",0.233650405502866,0,3,"2774.1",2774,NA,565,217,558,558,570,7,NA,NA
"2022-08-11",3,2023,"abundance","nbsGARCH",107,0.95,"exclosures","BA",0.259227801770545,0,3,"2774.1",2774,NA,566,217,558,558,570,8,NA,NA
"2022-08-11",4,2023,"abundance","nbsGARCH",107,0.95,"exclosures","BA",0.247078520948413,0,3,"2774.1",2774,NA,567,217,558,558,570,9,NA,NA
"2022-08-11",5,2023,"abundance","nbsGARCH",107,0.95,"exclosures","BA",0.203769032106277,0,2,"2774.1",2774,NA,568,217,558,558,570,10,NA,NA
"2022-08-11",6,2023,"abundance","nbsGARCH",107,0.95,"exclosures","BA",0.151803355169064,0,1,"2774.1",2774,NA,569,217,558,558,570,11,NA,NA
"2022-08-11",7,2023,"abundance","nbsGARCH",107,0.95,"exclosures","BA",0.112459849939625,0,2,"2774.1",2774,NA,570,217,558,558,570,12,NA,NA
