"cast_date","cast_month","cast_year","currency","model","dataset","species","estimate","lower_pi","upper_pi","cast_id","cast_group","confidence_level","old_cast_id","origin","newmoonnumber","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"2020-01-16",1,2020,"abundance","ESSS","all","PB",3.00050066906657,-26.1882540038239,32.189255341957,"316.8",15,0.95,316,NA,527,217,526,527,538,1,NA,NA
"2020-01-16",2,2020,"abundance","ESSS","all","PB",3.00050066906657,-38.2765653499773,44.2775666881104,"316.8",15,0.95,316,NA,528,217,526,527,538,2,NA,NA
"2020-01-16",3,2020,"abundance","ESSS","all","PB",3.00050066906657,-47.5525304856212,53.5535318237543,"316.8",15,0.95,316,NA,529,217,526,527,538,3,NA,NA
"2020-01-16",4,2020,"abundance","ESSS","all","PB",3.00050066906657,-55.3726244718161,61.3736258099492,"316.8",15,0.95,316,NA,530,217,526,527,538,4,NA,NA
"2020-01-16",5,2020,"abundance","ESSS","all","PB",3.00050066906657,-62.2623104755621,68.2633118136953,"316.8",15,0.95,316,NA,531,217,526,527,538,5,NA,NA
"2020-01-16",6,2020,"abundance","ESSS","all","PB",3.00050066906657,-68.4910883347162,74.4920896728493,"316.8",15,0.95,316,NA,532,217,526,527,538,6,NA,NA
"2020-01-16",7,2020,"abundance","ESSS","all","PB",3.00050066906657,-74.2190569447408,80.2200582828739,"316.8",15,0.95,316,NA,533,217,526,527,538,7,NA,NA
"2020-01-16",8,2020,"abundance","ESSS","all","PB",3.00050066906657,-79.5505311709925,85.5515325091256,"316.8",15,0.95,316,NA,534,217,526,527,538,8,NA,NA
"2020-01-16",9,2020,"abundance","ESSS","all","PB",3.00050066906657,-84.5579691533599,90.558970491493,"316.8",15,0.95,316,NA,535,217,526,527,538,9,NA,NA
"2020-01-16",10,2020,"abundance","ESSS","all","PB",3.00050066906657,-89.2941276547481,95.2951289928812,"316.8",15,0.95,316,NA,536,217,526,527,538,10,NA,NA
"2020-01-16",11,2020,"abundance","ESSS","all","PB",3.00050066906657,-93.798834025018,99.7998353631511,"316.8",15,0.95,316,NA,537,217,526,527,538,11,NA,NA
"2020-01-16",12,2020,"abundance","ESSS","all","PB",3.00050066906657,-98.1030303128122,104.104031650945,"316.8",15,0.95,316,NA,538,217,526,527,538,12,NA,NA
