"currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","simplexEDM","all","OT",8.66666666666667,0.148398718583945,17.1849346147494,0.95,694,"694.07",,528,2020-03-19,2,2020,29,217,528,528,540,0,,
"abundance","simplexEDM","all","OT",8.83333333333333,1.59501653820138,16.0716501284653,0.95,694,"694.07",,529,2020-03-19,3,2020,29,217,528,528,540,1,,
"abundance","simplexEDM","all","OT",8.83333333333333,1.59501653820138,16.0716501284653,0.95,694,"694.07",,530,2020-03-19,4,2020,29,217,528,528,540,2,,
"abundance","simplexEDM","all","OT",8.83333333333333,1.59501653820138,16.0716501284653,0.95,694,"694.07",,531,2020-03-19,5,2020,29,217,528,528,540,3,,
"abundance","simplexEDM","all","OT",8.83333333333333,1.59501653820138,16.0716501284653,0.95,694,"694.07",,532,2020-03-19,6,2020,29,217,528,528,540,4,,
"abundance","simplexEDM","all","OT",8.83333333333333,1.59501653820138,16.0716501284653,0.95,694,"694.07",,533,2020-03-19,7,2020,29,217,528,528,540,5,,
"abundance","simplexEDM","all","OT",8.83333333333333,1.59501653820138,16.0716501284653,0.95,694,"694.07",,534,2020-03-19,8,2020,29,217,528,528,540,6,,
"abundance","simplexEDM","all","OT",8.83333333333333,1.59501653820138,16.0716501284653,0.95,694,"694.07",,535,2020-03-19,9,2020,29,217,528,528,540,7,,
"abundance","simplexEDM","all","OT",8.83333333333333,1.59501653820138,16.0716501284653,0.95,694,"694.07",,536,2020-03-19,10,2020,29,217,528,528,540,8,,
"abundance","simplexEDM","all","OT",8.83333333333333,1.59501653820138,16.0716501284653,0.95,694,"694.07",,537,2020-03-19,11,2020,29,217,528,528,540,9,,
"abundance","simplexEDM","all","OT",8.83333333333333,1.59501653820138,16.0716501284653,0.95,694,"694.07",,538,2020-03-19,12,2020,29,217,528,528,540,10,,
"abundance","simplexEDM","all","OT",8.83333333333333,1.59501653820138,16.0716501284653,0.95,694,"694.07",,539,2020-03-19,1,2021,29,217,528,528,540,11,,
"abundance","simplexEDM","all","OT",8.83333333333333,1.59501653820138,16.0716501284653,0.95,694,"694.07",,540,2020-03-19,2,2021,29,217,528,528,540,12,,
