"currency","model","dataset","species","estimate","lower_pi","upper_pi","confidence_level","old_cast_id","forecast_id","origin","newmoonnumber","forecast_date","forecast_month","forecast_year","forecast_group","historic_start_newmoonnumber","historic_end_newmoonnumber","forecast_start_newmoonnumber","forecast_end_newmoonnumber","lead_time_newmoons","max_lag","lag_buffer"
"abundance","nbsGARCH","exclosures","NA",0.0867405581031197,0,1,0.95,456,"456.04",,527,2020-01-31,1,2020,20,217,527,527,539,0,,
"abundance","nbsGARCH","exclosures","NA",0.0971014239741005,0,1,0.95,456,"456.04",,528,2020-01-31,2,2020,20,217,527,527,539,1,,
"abundance","nbsGARCH","exclosures","NA",0.101358384005579,0,1,0.95,456,"456.04",,529,2020-01-31,3,2020,20,217,527,527,539,2,,
"abundance","nbsGARCH","exclosures","NA",0.104450072792463,0,1,0.95,456,"456.04",,530,2020-01-31,4,2020,20,217,527,527,539,3,,
"abundance","nbsGARCH","exclosures","NA",0.10583623857499,0,1,0.95,456,"456.04",,531,2020-01-31,5,2020,20,217,527,527,539,4,,
"abundance","nbsGARCH","exclosures","NA",0.105194058282547,0,1,0.95,456,"456.04",,532,2020-01-31,6,2020,20,217,527,527,539,5,,
"abundance","nbsGARCH","exclosures","NA",0.102657164196546,0,1,0.95,456,"456.04",,533,2020-01-31,7,2020,20,217,527,527,539,6,,
"abundance","nbsGARCH","exclosures","NA",0.0991014681962771,0,1,0.95,456,"456.04",,534,2020-01-31,8,2020,20,217,527,527,539,7,,
"abundance","nbsGARCH","exclosures","NA",0.0953151493650186,0,1,0.95,456,"456.04",,535,2020-01-31,9,2020,20,217,527,527,539,8,,
"abundance","nbsGARCH","exclosures","NA",0.0924045941763257,0,1,0.95,456,"456.04",,536,2020-01-31,10,2020,20,217,527,527,539,9,,
"abundance","nbsGARCH","exclosures","NA",0.0908698017974676,0,1,0.95,456,"456.04",,537,2020-01-31,11,2020,20,217,527,527,539,10,,
"abundance","nbsGARCH","exclosures","NA",0.0910949876063995,0,1,0.95,456,"456.04",,538,2020-01-31,12,2020,20,217,527,527,539,11,,
"abundance","nbsGARCH","exclosures","NA",0.093046160798034,0,1,0.95,456,"456.04",,539,2020-01-31,1,2021,20,217,527,527,539,12,,
