"date","currency","model","level","species","aic","fit_start_newmoon","fit_end_newmoon","initial_newmoon"
2017-11-20,"abundance","NegBinom Time Series","All","BA",1e+06,217,499,499
2017-11-20,"abundance","NegBinom Time Series","All","DM",1646.99998503301,217,499,499
2017-11-20,"abundance","NegBinom Time Series","All","DO",1425.16352307734,217,499,499
2017-11-20,"abundance","NegBinom Time Series","All","DS",1e+06,217,499,499
2017-11-20,"abundance","NegBinom Time Series","All","NA",1e+06,217,499,499
2017-11-20,"abundance","NegBinom Time Series","All","OL",770.011179923582,217,499,499
2017-11-20,"abundance","NegBinom Time Series","All","OT",1373.78556341765,217,499,499
2017-11-20,"abundance","NegBinom Time Series","All","PB",1643.58036650625,217,499,499
2017-11-20,"abundance","NegBinom Time Series","All","PE",1112.61298342599,217,499,499
2017-11-20,"abundance","NegBinom Time Series","All","PF",998.032406478707,217,499,499
2017-11-20,"abundance","NegBinom Time Series","All","PH",101.210626467972,217,499,499
2017-11-20,"abundance","NegBinom Time Series","All","PL",364.44755311588,217,499,499
2017-11-20,"abundance","NegBinom Time Series","All","PM",707.030273130964,217,499,499
2017-11-20,"abundance","NegBinom Time Series","All","PP",2154.04727559791,217,499,499
2017-11-20,"abundance","NegBinom Time Series","All","RF",61.1827599565241,217,499,499
2017-11-20,"abundance","NegBinom Time Series","All","RM",1009.45745168514,217,499,499
2017-11-20,"abundance","NegBinom Time Series","All","RO",1e+06,217,499,499
2017-11-20,"abundance","NegBinom Time Series","All","SF",1e+06,217,499,499
2017-11-20,"abundance","NegBinom Time Series","All","SH",1e+06,217,499,499
2017-11-20,"abundance","NegBinom Time Series","All","SO",32.9764245881332,217,499,499
2017-11-20,"abundance","NegBinom Time Series","All","total",2453.41545477166,217,499,499
